AFF_LOVE_POINT	Puntos de amor: %d%%
PARTY_MEMBER_OFFLINE	[Desconectado]
PARTY_RECALL_MEMBER	Llamar miembro del grupo.
PARTY_REGEN_BONUS	Bono por HP- + SP regeneración: +%d%%	SA
PARTY_REQUEST_DENIED	Tu invitación ha sido rechazada.
PARTY_SET_ATTACKER	Constituir como atacante.
PARTY_SET_BERSERKER	Constituir como Berserker.
PARTY_SET_BUFFER	Constituir como bloqueador.
PARTY_SET_DEFENDER	Constituir como Defensor.
PARTY_SET_NORMAL	Retirar ajustes.
PARTY_SET_SKILL_MASTER	Constituir como Maestro de Habilidad.
PARTY_SET_TANKER	Constituir como luchador con hoja.
PARTY_SKILL_ATTACKER	Valor de ataque básico del atacante +%.0f
PARTY_SKILL_BERSERKER	Velocidad de ataque de Berserker +%.0f
PARTY_SKILL_BUFFER	Bloqueador de Duración de Habilidad +%.0f
PARTY_SKILL_DEFENDER	Defensa defensor +%.0f
PARTY_SKILL_HP_REGEN	HP Regeneración +%.0f%%
PARTY_SKILL_PARTY_AREA	Alcance del grupo +%d%%
PARTY_SKILL_SKILL_MASTER	Max. SP Maesto de Habilidad +%.0f
PARTY_SKILL_SP_REGEN	SP Regeneración +%.0f%%
PARTY_SKILL_TANKER	Max. HP Luchador con hoja +%.0f
PARTY_SKILL_WARP	Posible llamar a miembros de grupo
PASSWORD_TITLE	Contraseña del almacén
PICK_ITEM_TITLE	Número del Objeto
PICK_MONEY_TITLE	Suma
PRIVATE_SHOP_CANNOT_SELL_ITEM	No puedes vender este objeto en la tienda privada.
PRIVATE_SHOP_CLOSE_QUESTION	¿Deseas cerrar la tienda privada?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Nombre de la tienda privada.
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Precio
PVP_LEVEL0	Caballeroso
PVP_LEVEL1	Noble
PVP_LEVEL2	Bueno
PVP_LEVEL3	Amigable
PVP_LEVEL4	Neutral
PVP_LEVEL5	Agresivo
PVP_LEVEL6	Fraudulento
PVP_LEVEL7	Malvado
PVP_LEVEL8	Cruel
PVP_MODE_GUILD	PvP - Gremio activado
PVP_MODE_KILL	PvP - Libre activado
PVP_MODE_NORMAL	PvP - Paz activada
PVP_MODE_PROTECT	PvP - Protección activada
PVP_MODE_REVENGE	PvP - Hostil activado
PVP_OPTION_KILL	Libre
PVP_OPTION_NORMAL	Paz
PVP_OPTION_PROTECT	Protección
PVP_OPTION_REVENGE	Hostil
QUEST_APPEND	Nueva misión adquirida.
QUEST_MIN	Min.
QUEST_SEC	Seg.
QUEST_TIMEOVER	Tiempo Expirado
QUEST_UNLIMITED_TIME	Sin límite de tiempo.
QUEST_ZEROSEC	0 Seg.
QUICKSLOT_REGISTER_DISABLE_ITEM	Este objeto no puede añadirse en el Campo de Acceso Rápido.
RECEIVE_MESSAGE	%s te ha enviado un mensaje.
REFINE_COST	Coste por Mejora: %d Yang
REFINE_DESTROY_WARNING	Este objeto puede ser destruido en la mejora.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Esto aumentará la probabilidad de mejorar.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	pero si fallas el artículo será destruido. ¿Deseas continuar?
REFINE_DOWN_GRADE_WARNING	El objeto puede ser degradado así.
REFINE_DO_YOU_SEPARATE_METIN	¿Deseas eliminar todas las Piedras Espíritu disponibles?
REFINE_FAILURE	Has fallado.
REFINE_FAILURE_CAN_NOT_ATTACH	%s no puede ser incluido en este objeto.
REFINE_FAILURE_EQUIP_ITEM	No puedes mejorar ningún objeto equipado.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	No hay ninguna piedra que pueda ser extraída.
REFINE_FAILURE_NEED_BETTER_SCROLL	Necesitas un mejor Pergamino de Avance.
REFINE_FAILURE_NO_GOLD_SOCKET	No hay socket de oro para incluir %s .
REFINE_FAILURE_NO_MORE_SOCKET	No puedes crear más sockets.
REFINE_FAILURE_NO_SOCKET0	No hay ningún socket libre para %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	No puedes hacer más sockets en este objeto.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Este objeto no puede ser mejorado.
REFINE_SUCCESS	La mejora del objeto se ha realizado con éxito.
REFINE_SUCCESS_PROBALITY	Probabilidad de mejora %d%%
REFINE_WARNING2	¿Deseas continuar?
SAFEBOX_ERROR	Has introducido una contraseña incorrecta.
SAFEBOX_SELL_DISABLE_SAFEITEM	No puedes vender ninguno de los objetos guardados.
SAFEBOX_WRONG_PASSWORD	Las contraseñas deben ser idénticas.
SCREENSHOT_SAVE1	está guardada en
SCREENSHOT_SAVE2	Archivo de captura de pantalla.
SCREENSHOT_SAVE_FAILURE	Guardado de captura de pantalla fallado.
SECOND	Seg
SELECT_CAN_NOT_DELETE	No puedes borrar este personaje.
SELECT_CHANGED_NAME	Has cambiado el nombre del personaje.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	El nombre del personaje ya existe.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Prueba de nuevo.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Eso
SELECT_CHANGE_NAME_TITLE	Cambiar nombre de personaje.
SELECT_DELEING	El personaje será borrado.
SELECT_DELETED	Borrado con éxito.
SELECT_DO_YOU_DELETE_REALLY	¿Deseas continuar?
SELECT_EMPTY_SLOT	Este es un campo vacio.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Intruducir un nuevo nombre de personaje.
SELECT_NOT_JOIN_GUILD	Sin Gremio
SHOP_BUY_INFO	Elige el objeto que desees comprar en la ventana de la tienda.
SHOP_CANNOT_SELL_EQUIPMENT	No puedes vender los objetos que te has equipado.
SHOP_CANNOT_SELL_ITEM	Este objeto no puede venderse.
SHOP_ERROR_UNKNOWN	Error de Tienda desconocido: %s
SHOP_INVALID_POS	Este objeto no puede ser usado aquí.
SHOP_INVENTORY_FULL	Tu inventario está lleno.
SHOP_NOT_ENOUGH_MONEY	No tienes suficiente Yang
SHOP_NOT_ENOUGH_MONEY_EX	No tienes suficiente Yang.
SHOP_SELL_INFO	Elige el objeto que desees vender en la ventana de tu inventario.
SHOP_SOLDOUT	Vendido
SHOT_ERROR_UNKNOWN	Error desconocido durante ataque a larga distancia: %s
SKILL_BLEEDING	Sangrado
SKILL_BOHO	Reflectar
SKILL_BUDONG	no se usa más
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Necesitas EXP para aprender esta habilidad
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Necesitas un Libro para aprender esta habilidad.
SKILL_CHEONGEUN	Cuerpo Fuerte.
SKILL_CRITICAL	Golpe Crítico
SKILL_ENCHANT_POISON	Aplicar veneno
SKILL_EUNHYEONG	Camuflaje
SKILL_FAINT	Apagón
SKILL_FIND_TRAP	Trampa de búsqueda
SKILL_FIRE	Fuego permanente
SKILL_FISHMIND	La bola de pescar está activa
SKILL_GAMJI	Capturar
SKILL_GEOMGYEONG	Aura de espada
SKILL_GEONGON	SKILL_GEONGON no se usa más
SKILL_GICHEON	Ayuda del Dragón
SKILL_GIGONG	Rotación de Chi
SKILL_GONGPO	Miedo
SKILL_GRADE_NAME_GRAND_MASTER	%s Gran Master
SKILL_GRADE_NAME_MASTER	%s Master
SKILL_GRADE_NAME_PERFECT_MASTER	%s Master Perfecto
SKILL_GROUP_ASSASSIN_1	Hoja
SKILL_GROUP_ASSASSIN_2	Arco
SKILL_GROUP_HORSE	Equitación
SKILL_GROUP_SHAMAN_1	Dragón
SKILL_GROUP_SHAMAN_2	Curación
SKILL_GROUP_SURA_1	Arma
SKILL_GROUP_SURA_2	Magia
SKILL_GROUP_WARRIOR_1	Cuerpo
SKILL_GROUP_WARRIOR_2	Mental
SKILL_GWIGEOM	Hoja encantada
SKILL_GYEONGGONG	Camino pluma
SKILL_HEUKSIN	Protección oscura
SKILL_HOSIN	Bendición
SKILL_HWAYEOM	SKILL_HWAYEOM no se usa más
SKILL_HYEOLMA	SKILL_HYEOLMA no se usa más.
SKILL_INC_ATKSPD	Velocidad de ataque aumentada
SKILL_INC_MOVSPD	Velocidad de movimiento aumentada
SKILL_INMA	SKILL_INMA no se usa más
SKILL_JEOJU	Maldición
SKILL_JEONGEOP	Curación
SKILL_JEONGWI	Berserk
SKILL_JEONSINBANGEO	Defensa total
SKILL_JEONSINGONGGYEOK	Ataque total
SKILL_JEUNGCHE	SKILL_JEUNGCHE No se usa más
SKILL_JEUNGHON	SKILL_JEUNGHON No se usa más
SKILL_JEUNGRYEOK	Ataque +
SKILL_JEUNGSOK	Velocidad +
SKILL_JIGAM	SKILL_JIGAM No se usa más
SKILL_JIPJUNG	SKILL_JIPJUNG No se usa más
SKILL_JUMAGAP	Armadura encantada
SKILL_JUMAGEOM	SKILL_JUMAGEOM No se usa más
SKILL_KWAEGEOM	SKILL_KWAEGEOM No se usa más
SKILL_KWAESOK	Velocidad
SKILL_LEGBOUND	SKILL_LEGBOUND No se usa más
SKILL_MUSA	SKILL_MUSA No se usa más
SKILL_MUYEONG	Espíritu de la llama
SKILL_NEED_EMPTY_BOTTLE	No tengo una botella vacia.
SKILL_NEED_POISON_BOTTLE	No tengo una botella de veneno
SKILL_ONLY_FOR_GUILD_WAR	Sólo puedes usar esta habilidad durante una Guerra de Gremios.
SKILL_PABEOP	Hechizo neutralizador
SKILL_POWERFUL_STRIKE	Ataque deslumbrante
SKILL_SEOMGWANG	Bomba Relámpago
SKILL_SINCHAK	SKILL_SINCHAK No se usa más
SKILL_SLEEP	Dormir
SKILL_SLOW	Retardo
SKILL_STUN	Apagón
SKILL_SUHO	Guardar
SKILL_SUMMON_DESCRIPTION	Probabilidad de evocación: %d%%
SKILL_TOOLTIP_INT	Inteligencia
SKILL_TOOLTIP_LEVEL	Nivel
SKILL_TOXICDIE	Envenenamiento
SKILL_TOXICPOWER	Valor de ataque venenoso aumentado
SKILL_TUSOK	Golpe fantasma
SKILL_WONSIN	SKILL_WONSIN no se usa más
SKILL_YONGSIN	SKILL_YONGSIN no se usa más
STAT_MINUS_CON	Ajuste de vitalidad (probabilidad restante: %d)
STAT_MINUS_DEX	Ajuste de destreza (probabilidad restante: %d)
STAT_MINUS_INT	Ajuste de inteligencia (Resto de probabilidad: %d)
STAT_MINUS_STR	Ajuste de fuerza (Resto de probabilidad: %d)
STAT_TOOLTIP_CON	Aumenta HP y la defensa
STAT_TOOLTIP_DEX	Aumenta el ataque y la evasión
STAT_TOOLTIP_INT	Aumenta SP, ataque y defensa mágicos.
STAT_TOOLTIP_STR	Aumenta valor de ataque y de daño
SYMBOLLIST_TITLE	Registrar bandera de gremio
SYSTEM_OPTION_CPU_TILING_1	El modo sin superposición de la CPU puede mejorar la velocidad de un PC más débil.
SYSTEM_OPTION_CPU_TILING_2	Si hay problemas con los gráficos selecciona 'Opción del Sistema' o 'CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	y cambia a Modo GPU Sin Superposición.
SYSTEM_OPTION_GPU_TILING_1	El Modo GPU Sin Superposición puede ir lento en un PC débil.
SYSTEM_OPTION_GPU_TILING_2	Si tienes problemas con los gráficos, elige 'Opciones del sistema' o 'CONFIG.exe'
SYSTEM_OPTION_GPU_TILING_3	y cambia a Modo GPU Sin Superposición
SYSTEM_OPTION_TILING_EXIT	Para cambiar al modo sin superposición se debe reiniciar el juego.
TARGET_BUTTON_ACCEPT_FIGHT	Aceptar
TARGET_BUTTON_AVENGE	Vengar
TARGET_BUTTON_BUILDING_DESTROY	Destruir
TARGET_BUTTON_DISMOUNT	Desmontar
TARGET_BUTTON_EMOTION_ALLOW	Emociones
TARGET_BUTTON_EXCHANGE	Comercio
TARGET_BUTTON_EXCLUDE	Excluir
TARGET_BUTTON_EXIT_OBSERVER	Finalizar modo observador
TARGET_BUTTON_FIGHT	Duelo
TARGET_BUTTON_FRIEND	Amigo
TARGET_BUTTON_INVITE_GUILD	Invitación de Gremio
TARGET_BUTTON_INVITE_PARTY	Invitación de Grupo
TARGET_BUTTON_LEAVE_PARTY	Salir del Grupo
TARGET_BUTTON_REQUEST_ENTER_PARTY	Entrar en grupo
TARGET_BUTTON_VIEW_EQUIPMENT	Equipamiento
TARGET_BUTTON_WHISPER	Conversación
TARGET_LEVEL_BOSS	Jefe
TARGET_LEVEL_KING	Nivel 5.
TARGET_LEVEL_KNIGHT	Nivel 3.
TARGET_LEVEL_PAWN	Nivel 1.
TARGET_LEVEL_S_KNIGHT	Nivel 4.
TARGET_LEVEL_S_PAWN	Nivel 2.
TASKBAR_ATTACK	Ataque
TASKBAR_AUTO	Atacar automáticamente
TASKBAR_CAMERA	Cámara
TASKBAR_EXP	Experiencia
TASKBAR_HP	HP
TASKBAR_MOVE	Mover
TASKBAR_SKILL	Habilidad
TASKBAR_SP	SP
TASKBAR_ST	ST
THING_COUNT	todo
TOOLTIP_ANTI_CRITICAL_PCT	Resistencia contra golpe crítico +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Resistencia contra golpe penetrante +%d%%	SA
TOOLTIP_ANTI_SELL	No puede ser vendido en un almacén.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Grado de absorción: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Fuerza contra Animales +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Fuerza contra Ninjas +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Fuerza contra Demonio +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Fuerza contra Medio Humanos +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Fuerza contra Místicos +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Fuerza contra monstruos +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Fuerza contra Orcos +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Fuerza contra Chamanes +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Fuerza contra Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Fuerza contra Nomuerto +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Fuerza contra Guerrero +%d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Ataque de sangrado + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Resistencia contra ataque de sangrado + %d%%	SA
TOOLTIP_APPLY_BLOCK	Probabilidad de bloquear un ataque cuerpo a cuerpo %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Recuperar SP cada 5 segundos en una Batalla %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Probabilidad de golpes críticos +%d%% 	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Probabilidad de recuperar SP al golpear	SA
TOOLTIP_APPLY_DODGE	Probabilidad de evitar Flechas %d%%	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% Probabilidad de bonus EXP	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% Probabilidad de obtener el doble de Yang.	SA
TOOLTIP_APPLY_IMMUNE_FALL	Inmune contra caídas.	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Defensa contra retardo	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Defensa contra apagones	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Probabilidad de caer doble de Objetos	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% Probabilidad para recuperar HP	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% Probabilidad para restaurar SP	SA
TOOLTIP_APPLY_MANA_BURN_PCT	Probabilidad para robar el SP %d%% 	SA
TOOLTIP_APPLY_MAX_HP_PCT	HP máx. +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	SP máx. +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Sin efecto.
TOOLTIP_APPLY_NO_DEATH_PENALTY	No se perderán puntos de experiencia si tu personaje revive en el lugar de la muerte.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Probabilidad de Golpes de penetración	SA
TOOLTIP_APPLY_POISON_PCT	Probabilidad de envenenamiento %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Resistencia a Veneno %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Poción %d%% aumento de efecto	SA
TOOLTIP_APPLY_REFLECT_CURSE	Probabilidad de reflectar Maldición: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% Probabilidad de reflectar golpes cuerpo a cuerpo 	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Opción de defensa contra ataques Ninjas: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Defensa Campana %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Defensa Daga %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Defensa Fan %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Opción de defensa contra ataques Chamán: %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Opción de defensa contra ataques Suras: %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Defensa Espada %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Defensa Dos Manos %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Opción de defensa contra ataques Guerreros: %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Resistencia Viento %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Probabilidad de apreder de libros mejorada por factor 2.5 .	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Si el aprendizaje falla, tendrás de inmediato otro intento libre.	SNA
TOOLTIP_APPLY_SLOW_PCT	Probabilidad de retardación %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% del daño será absorbido por HP.	SA
TOOLTIP_APPLY_STEAL_SP	%d%% del daño será absorbido por SP.	SA
TOOLTIP_APPLY_STUN_PCT	Probabilidad de desmayo %d%%	SA
TOOLTIP_ARMOR	Armadura
TOOLTIP_ARROW	Flecha
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Valor de Ataque +%d	SA
TOOLTIP_ATT_SPEED	Velocidad de Ataque +%d%%	SA
TOOLTIP_AUTO_POTION_HP	Elixir del Sol
TOOLTIP_AUTO_POTION_REST	Cantidad restante: %.2f%%
TOOLTIP_AUTO_POTION_SP	Elixir de la Luna
TOOLTIP_AUTO_POTION_USING	Activa
TOOLTIP_BOW_DISTANCE	Alcance de Arco +%dm	SA
TOOLTIP_BUYPRICE	Precio: %s
TOOLTIP_CAST_SPEED	Velocidad de Hechizo +%d%%	SA
TOOLTIP_CON	Vitalidad +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Bonificación por atuendo %d%% 	SA
TOOLTIP_DEF_GRADE	Defensa +%d	SA
TOOLTIP_DEX	Destreza +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Tierra	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Cielo	SNA
TOOLTIP_EAR	Pendientes
TOOLTIP_ENERGY	Energía %d	SA
TOOLTIP_ETC	y así sucesivamente
TOOLTIP_FISHINGROD_EXP	Puntos %d / %d
TOOLTIP_FISHINGROD_LEVEL	Nivel: %d
TOOLTIP_FISHINGROD_UPGRADE1	Dale al pescador
TOOLTIP_FISHINGROD_UPGRADE2	para obtener una
TOOLTIP_FISHINGROD_UPGRADE3	Caña de Pescar mejor.
TOOLTIP_FISH_LEN	Altura: %.2fcm
TOOLTIP_HELMET	Casco
TOOLTIP_HP_REGEN	Regeneración de HP +%d%%	SA
TOOLTIP_INT	Inteligencia +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Valor de Ataque %d
TOOLTIP_ITEM_ATT_POWER	Valor de Ataque %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Valor de Ataque %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Valor de Ataque %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Velocidad de Ataque %s
TOOLTIP_ITEM_DEF_GRADE	Defensa %d
TOOLTIP_ITEM_FAST	Rápido
TOOLTIP_ITEM_LIMIT_CON	Límite superior de vitalidad: %d
TOOLTIP_ITEM_LIMIT_DEX	Límite superior de destreza: %d
TOOLTIP_ITEM_LIMIT_INT	Límite superior de Inteligencia: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Desde el nivel: %d
TOOLTIP_ITEM_LIMIT_STR	Límite superior de Fuerza: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Valor de Ataque Mágico %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Valor de Ataque Mágico %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Defensa Mágica %d
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Lento
TOOLTIP_ITEM_VERY_FAST	Muy rápido
TOOLTIP_ITEM_VERY_SLOW	Muy lento
TOOLTIP_ITEM_WEARABLE_JOB	[ Equipable ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Número de la suerte: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Ataque mágico +%d%% 	SA
TOOLTIP_MAGIC_ATT_GRADE	Valor de Ataque Mágico +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Defensa Mágica +%d	SA
TOOLTIP_MALL_ATTBONUS	Valor de Ataque +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Valor de Ataque +12~15%	SNA
TOOLTIP_MALL_AUTOLOOT	Una mano que recoge automáticamente el Yang tirado	SNA
TOOLTIP_MALL_DEFBONUS	Defensa +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Defensa +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP Bonus +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	Aumenta la ganancia de EXP un 50%	SNA
TOOLTIP_MALL_FISH_MIND	Tu probabilidad de capturar un pez raro se duplica.	SNA
TOOLTIP_MALL_GOLDBONUS	Probabilidad de capturar Yang multiplicado con %.1f	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Duplica tu probabilidad de capturar Yang	SNA
TOOLTIP_MALL_ITEMBONUS	Probabilidad de capturar objetos multiplicada con %.1f	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Probabilidad de capturar objetos más %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Duplica tus probabilidades de capturar objetos	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Los puntos de amor aumentan más rápido.	SNA
TOOLTIP_MALL_SAFEBOX	Tu almacén obtiene 2 áreas de almacenaje más	SNA
TOOLTIP_MAX_HP	Max. HP +%d	SA
TOOLTIP_MAX_HP_PCT	Max. HP +%d%%	SA
TOOLTIP_MAX_SP	Max. SP +%d	SA
TOOLTIP_MAX_SP_PCT	Max. SP +%d%%	SA
TOOLTIP_MAX_STAMINA	Max. Resistencia +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Ataque mágico/cuerpo a cuerpo +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)
TOOLTIP_MOV_SPEED	Veloc. Movim. %d%%	SA
TOOLTIP_NECK	Collar
TOOLTIP_NEED_ALL_SP	SP Requerido: Max.
TOOLTIP_NEED_GSP	Dragón Fantasma requerido: %d
TOOLTIP_NEED_HP	HP Requerido: %d
TOOLTIP_NEED_HP_PER_SEC	HP / seg.: %d
TOOLTIP_NEED_SKILL_POINT	Puntos de habilidad requeridos:
TOOLTIP_NEED_SP	SP Requerido: %d
TOOLTIP_NEED_SP_PER_SEC	SP / seg.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Siguiente Nivel: %d (Max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Siguiente Nivel: %d (Max. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Daño de Media %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Resistencia de Daño de Media %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Más de %d Miembros de Grupo
TOOLTIP_PARTY_INFO_GRADE_UP2	Nivel de Ataque +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Nivel de Defensa +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Restaura HP/SP de todos los miembros del grupo cada 60 minutos.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Restaura HP/SP de todos los miembros del grupo cada 30 minutos
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Debes esperar 3 minutos tras la muerte de un miembro del grupo.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Puedes llamar a los miembros del grupo que están en el mismo servidor en cualquier momento.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Nivel de Ataque +(Número de miembros de grupo./2) Atacante %d puede ser elegido.
TOOLTIP_PARTY_INFO_SET_TANKER	Nivel de Defensa +(Número de miembros de grupo) luchadores con hoja 1 pueden ser elegidos.
TOOLTIP_PARTY_SKILL_LEVEL	Nivel actual: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Ataque/Defensa mejorada]
TOOLTIP_PARTY_TITLE_HEAL	[restaurar]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Cuando haya más de %d miembros de grupo tendrás %d%% Bonus EXP .
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Llamar]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Constituir Atacante]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Constituir Luchador con Hoja]
TOOLTIP_PICK_EXP	Puntos: %d / %d
TOOLTIP_PICK_LEVEL	Nivel: %d
TOOLTIP_PICK_UPGRADE1	Entrégale al leñador
TOOLTIP_PICK_UPGRADE2	para obtener
TOOLTIP_PICK_UPGRADE3	un pico mejor.
TOOLTIP_POTION_CURE	Cura efectos negativos.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Velocidad de ataque +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	HP +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	HP +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Velocidad de movimiento +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	SP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	SP +%d
TOOLTIP_POTION_SEC	Seg.
TOOLTIP_POTION_TIME	Duración:
TOOLTIP_REQUIREMENT_21_LEVEL	Debes alcanzar el nivel 21.
TOOLTIP_REQUIREMENT_41_LEVEL	Debes alcanzar el nivel 41.
TOOLTIP_REQUIREMENT_LEVEL	Debes alcanzar el nivel %d.
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Nivel %d necesario.
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d necesario
TOOLTIP_RESIST_BOW	Resistencia de Flechas %d%%	SA
TOOLTIP_RESIST_DARK	Resistencia contra oscuridad +%d%%	SA
TOOLTIP_RESIST_EARTH	Resistencia de tierra +%d%%	SA
TOOLTIP_RESIST_ELEC	Resistencia de Relámpago %d%%	SA
TOOLTIP_RESIST_FIRE	Resistencia de Fuego %d%%	SA
TOOLTIP_RESIST_ICE	Resistencia de hielo +%d%%	SA
TOOLTIP_RESIST_MAGIC	Resistencia de Magia %d%%	SA
