AFF_LOVE_POINT	Πόντοι αγάπης: %d%%
MAP_SUNGZI_DESERT_HILL_02	Μάχη των Βασιλείων - Έρημος
MAP_SUNGZI_DESERT_HILL_03	Μάχη των Βασιλείων - Έρημος
MAP_SUNGZI_FLAME_HILL_01	Μάχη των Βασιλείων - Γη του Πυρός
MAP_SUNGZI_FLAME_HILL_02	Μάχη των Βασιλείων - Γη του Πυρός
MAP_SUNGZI_FLAME_HILL_03	Μάχη των Βασιλείων - Γη του Πυρός
MAP_SUNGZI_SNOW	Μάχη των Βασιλείων - Γη των Πάγων
MAP_SUNGZI_SNOW_PASS01	Μάχη των Βασιλείων - Γη των Πάγων
MAP_SUNGZI_SNOW_PASS02	Μάχη των Βασιλείων - Γη των Πάγων
MAP_SUNGZI_SNOW_PASS03	Μάχη των Βασιλείων - Γη των Πάγων
MAP_T1	Περιοχή πολέμων συντεχνίας
MAP_T2	Περιοχή πολέμων συντεχνίας
MAP_T3	Περιοχή πολέμων συντεχνίας
MAP_T4	Περιοχή πολέμων συντεχνίας
MAP_TEMPLE	Ναός του Hwang
MAP_THUNDER	Βουνά Κεραυνού
MAP_TREE	Lungsam
MAP_TRENT	Δάσος των Φαντασμάτων
MAP_TRENT02	Κόκκινο Δάσος
MAP_TRENT02_A	Κόκκινο Δάσος
MAP_TRENT_A	
MAP_WEDDING_01	Χάρτης γάμου
MAP_WL	Κοιλάδα των Φιδιών
MAP_WL_01	Κοιλάδα φιδιών
MESSENGER_ADD_FRIEND	Πρόσθεσε Φίλο
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	Ο %s σε πρόσθεσε ως φίλο.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Δέχεσαι;
MESSENGER_DO_YOU_DELETE	Διαγραφή;
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Θέλεις να διαγράψεις το νούμερο κινητού;
MESSENGER_DO_YOU_MOVE	Θέλεις να συνεχίσεις;
MESSENGER_EMPTY_LIST	’δειο
MESSENGER_FAMILY	Οικογένεια
MESSENGER_FRIEND	Φίλοι
MESSENGER_GUILD	Συντεχνία
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Εισήγαγε τον αριθμό επιβεβαίωσης που αποστάλθηκε στο κινητό σου.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Εισαγωγή αριθμού επιβεβαίωσης.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Εισήγαγε τον αριθμό κινητού τηλεφώνου για την αποστολή του Μηνύματος.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Θέλεις να εισάγεις τώρα τον αριθμό;
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Εισαγωγή αριθμού κινητού τηλεφώνου.
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Αποστολή μηνύματος.
METIN_TEST	
MINIMAP	’νοιγμα μικρού χάρτη
MINIMAP_CANNOT_SEE	Δε μπορείς να δεις το Μικρό Χάρτη.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Ο Μικρός Χάρτης δε μπορεί να εμφανιστεί.
MINIMAP_DEC_SCALE	Ελαχιστοποίηση
MINIMAP_INC_SCALE	Μεγιστοποίηση
MINIMAP_OBSERVER_COUNT	%d παρατηρητές
MINIMAP_SHOW_AREAMAP	’νοιγμα μεγάλου χάρτη
MINUTE	Λεπτά
MONETARY_UNIT0	Yang
MONETARY_UNIT1	Δέκα Χιλιάδες
MONETARY_UNIT2	Εκατό Δισεκατομμύρια
MONEY_INPUT_DIALOG_SELLPRICE	Τιμή Πώλησης:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Δεν μπορείς να μετακινήσεις αντικείμενα όσο είναι ανοιχτό το ιδιωτικό κατάστημα.
MUSIC_EMPTY_MUSIC_LIST	Δεν υπάρχει μουσική περιβάλλοντος.
MUSIC_METIN2_DEFAULT_THEMA	Συνήθης μουσική Metin2
MUSIC_NOT_SELECT_MUSIC	Δεν επιλέχθηκε αρχείο μουσικής.
NEEFD_REST	Πρέπει να ξεκουραστείς πρώτα.
NOT_YET_SUPPORT	Δεν υποστηρίζεται ακόμη
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Δε μπορείς να ενεργοποιήσεις Mode Συντεχνίας όταν δεν ανήκεις σε Συντεχνία.
OPTION_PVPMODE_NOT_SUPPORT	Δε μπορείς να επιλέξεις αυτή τη διαμόρφωση στο PvP.
OPTION_PVPMODE_PROTECT	Πρέπει να έχεις φτάσει στο επίπεδο %d για να αλλάξεις την εφαρμογή PvP.
PARTY_ANSWER_TIMEOVER	Η πρόσκληση απορρίφθηκε.
PARTY_BONUS_ATTACKER	Αξία Επίθεσης: +%d	SA
PARTY_BONUS_BERSERKER	Ταχύτητα Επίθεσης: +%d	SA
PARTY_BONUS_BUFFER	Διάρκεια Ικανοτήτων: +%d	SA
PARTY_BONUS_DEFENDER	’μυνα: +%d	SA
PARTY_BONUS_EXP	Bonus EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Μεγ. SP: +%d	SA
PARTY_BONUS_TANKER	Μεγ. HP: +%d	SA
PARTY_BREAK_UP	Διαγραφή Ομάδας
PARTY_DO_YOU_ACCEPT	Ο %s σας κάλεσε στην Ομάδα.
PARTY_DO_YOU_JOIN	 σε κάλεσε στην ομάδα του. Αποδέχεσαι;
PARTY_EXP_DISTRIBUTION_MODE	EXP Κατανομή
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Εξαρτ. από επίπεδο
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Τα μέλη της ομάδας με μεγαλύτερο επίπεδο αποκτούν περισσότερη εμπειρία.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Ομοιόμορφα
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Όλα τα μέλη της ομάδας κερδίζουν την ίδια ΕΧΡ.
PARTY_HEAL_ALL_MEMBER	Αποκατάσταση όλων.
PARTY_INCREASE_AREA_150	Η ακτίνας ομάδας αναβαθμίστηκε κατά παράγοντα 1,5.	SNA
PARTY_INCREASE_AREA_200	Η ακτίνας ομάδας αναβαθμίστηκε κατά παράγοντα 2.	SNA
PARTY_LEAVE	Έξοδος από ομάδα
PARTY_LONGTIME_BONUS_EXP	Bonus EXP για μεγάλη διάρκεια ομάδας: +%d%%	SA
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Κλήση μελών ομάδας.
PARTY_REGEN_BONUS	Bonus για αναγέννηση HP- + SP: +%d%%	SA
PARTY_REQUEST_DENIED	Η αίτηση σου απορρίφθηκε.
PARTY_SET_ATTACKER	Constitute as Επιτιθέμενος.
PARTY_SET_BERSERKER	Constitute as Berserker.
PARTY_SET_BUFFER	Constitute as Blocker.
PARTY_SET_DEFENDER	Constitute as Αμυνόμενος.
PARTY_SET_NORMAL	Ρυθμίσεις υποχώρησης.
PARTY_SET_SKILL_MASTER	Επιλογή ώς βασικής ικανότητας.
PARTY_SET_TANKER	Σύνταξη μαχητή Σώμα με Σώμα
PARTY_SKILL_ATTACKER	Base Attack Value Attacker +%.0f
PARTY_SKILL_BERSERKER	Attack Speed Berserker +%.0f
PARTY_SKILL_BUFFER	Διάρκεια Ικανότητας Μπλοκ +%.0f
PARTY_SKILL_DEFENDER	Defence Defender +%.0f
PARTY_SKILL_HP_REGEN	Αναγέννηση HP +%.0f%%
PARTY_SKILL_PARTY_AREA	Ακτίνα Ομάδας +%d%%
PARTY_SKILL_SKILL_MASTER	Max. SP Ικανότητα Master +%.0f
PARTY_SKILL_SP_REGEN	Αναγέννηση SP +%.0f%%
PARTY_SKILL_TANKER	Mεγ. HP Μαχητή Σώμα με Σώμα +%.0f
PARTY_SKILL_WARP	Μπορείς να καλέσεις μέλη ομάδας.
PASSWORD_TITLE	Κωδικός αποθήκης
PICK_ITEM_TITLE	Αριθμός Αντικειμένου
PICK_MONEY_TITLE	Σύνολο
PRIVATE_SHOP_CANNOT_SELL_ITEM	Δε μπορείς να πουλήσεις αυτό το Αντικείμενο σε Ιδιωτικό Κατάστημα.
PRIVATE_SHOP_CLOSE_QUESTION	Θέλεις να κλείσεις το Ιδιωτικό Κατάστημα;
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Όνομα του ιδιωτικού Καταστήματος.
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Τιμή
PVP_LEVEL0	Ιπποτικός
PVP_LEVEL1	Ευγενής
PVP_LEVEL2	Καλός
PVP_LEVEL3	Φιλικός
PVP_LEVEL4	Ουδέτερος
PVP_LEVEL5	Επιθετικός
PVP_LEVEL6	Απατηλός
PVP_LEVEL7	Κακόβουλος
PVP_LEVEL8	Σκληρός
PVP_MODE_GUILD	Ενεργό PvP Συντεχνία
PVP_MODE_KILL	Ενεργό PvP Ελεύθερο
PVP_MODE_NORMAL	Ενεργό PvP Ειρήνη
PVP_MODE_PROTECT	Ενεργό PvP προστασία
PVP_MODE_REVENGE	Ενεργό PvP Εχθρικό
PVP_OPTION_KILL	Ελεύθερο
PVP_OPTION_NORMAL	Ειρήνη
PVP_OPTION_PROTECT	Προστασία
PVP_OPTION_REVENGE	Εχθρικό
QUEST_APPEND	Ανέλαβες Νέα Αποστολή.
QUEST_MIN	Λεπ.
QUEST_SEC	Δευτ.
QUEST_TIMEOVER	Λήξη Χρόνου
QUEST_UNLIMITED_TIME	Χωρίς χρονικό όριο.
QUEST_ZEROSEC	0 Δευτ.
QUICKSLOT_REGISTER_DISABLE_ITEM	Το αντικείμενο δε μπορεί να προστεθεί στο ΠεδίοΓρήγορης Πρόσβασης.
RECEIVE_MESSAGE	Ο %s σου έστειλε μήνυμα.
REFINE_COST	Κόστος Προαγωγής: %d Yang
REFINE_DESTROY_WARNING	Το Αντικείμενο μπορεί να καταστραφεί κατά τον εξευγενισμό.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Αυτό θα βελτιώσει τις πιθανότητες αναβάθμισης,
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	αλλά αν αποτύχεις, το αντικείμενο μπορεί να καταστραφεί. /n Θέλεις να συνεχίσεις;
REFINE_DOWN_GRADE_WARNING	Το αντικείμενο μπορεί να υποβαθμιστεί κατά τον εξευγενισμό.
REFINE_DO_YOU_SEPARATE_METIN	Να αφαιρεθούν όλοι οι Λίθοι Πνεύματος;
REFINE_FAILURE	Απότυχες.
REFINE_FAILURE_CAN_NOT_ATTACH	%s δε μπορεί να περιληφθεί σε αυτό το αντικείμενο.
REFINE_FAILURE_EQUIP_ITEM	Δεν μπορείς να βελτιώσεις αντικείμενα που φοράς.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Δε μπορεί να αφαιρεθεί η Λίθος Metin.
REFINE_FAILURE_NEED_BETTER_SCROLL	Χρειάζεσαι καλύτερο Πάπυρο Προόδου.
REFINE_FAILURE_NO_GOLD_SOCKET	Δεν υπάρχει Χρυσή υποδοχή για να περιλάβει το %s .
REFINE_FAILURE_NO_MORE_SOCKET	Δε μπορείς να φτιάξεις άλλες υποδοχές.
REFINE_FAILURE_NO_SOCKET0	Δεν υπάρχει ελεύθερη υποδοχή για το %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Δε μπορείς να φτιάξεις υποδοχές σε αυτό το αντικείμενο.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Το αντικείμενο δε μπορεί να ανβαθμιστεί.
REFINE_SUCCESS	Η αναβάθμιση ήταν επιτυχής.
REFINE_SUCCESS_PROBALITY	Πιθανότητα Αναβάθμισης %d%%
REFINE_WARNING2	Θέλεις να συνεχίσεις;
SAFEBOX_ERROR	Εισήγαγες λάθος συνθηματικό.
SAFEBOX_SELL_DISABLE_SAFEITEM	Δε μπορείς να πουλήσεις αποθηκευμένα αντικείμενα.
SAFEBOX_WRONG_PASSWORD	Τα συνθηματικά πρέπει να είναι ακριβώς τα ίδια.
SCREENSHOT_SAVE1	σώθηκε στο
SCREENSHOT_SAVE2	Screenshot File
SCREENSHOT_SAVE_FAILURE	Απότυχε η αποθήκευση της φωτογραφίας.
SECOND	Δευτ
SELECT_CAN_NOT_DELETE	Δεν μπορείς να διαγράψεις τον χαρακτήρα.
SELECT_CHANGED_NAME	’λλαξες το όνομα χαρακτήρα σου.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Το όνομα του χαρακτήρα υπάρχει ήδη.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Προσπάθησε ξανά.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Λάθος όνομα χαρακτήρα.
SELECT_CHANGE_NAME_TITLE	Αλλαγή ονόματος χαρακτήρα
SELECT_DELEING	Ο χαρακτήρας θα διαγραφεί.
SELECT_DELETED	Η διαγραφή ήταν επιτυχημένη.
SELECT_DO_YOU_DELETE_REALLY	Θέλεις να συνεχίσεις;
SELECT_EMPTY_SLOT	Το πεδίο είναι κενό.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Εισαγωγή νέου ονόματος.
SELECT_NOT_JOIN_GUILD	Όχι Συντεχνία
SHOP_BUY_INFO	Διάλεξε στο παράθυρο του καταστήματος, ποια αντικείμενα θέλεις να αγοράσεις.
SHOP_CANNOT_SELL_EQUIPMENT	Δεν μπορείς να πουλήσεις αντικείμενα που φοράς.
SHOP_CANNOT_SELL_ITEM	Το Αντικείμενο δε μπορεί να πωληθεί.
SHOP_ERROR_UNKNOWN	’γνωστο Σφάλμα Καταστήματος: %s
SHOP_INVALID_POS	Δε μπορεί να χρησιμοποιηθεί εδώ.
SHOP_INVENTORY_FULL	Ο κατάλογός σου είναι πλήρης.
SHOP_NOT_ENOUGH_MONEY	Μη επαρκές Yang
SHOP_NOT_ENOUGH_MONEY_EX	Δεν έχεις αρκετό Yang.
SHOP_SELL_INFO	Επίλεξε το αντικείμενο που θέλεις να πουλήσεις στον κατάλογο.
SHOP_SOLDOUT	Ξεπούλημα
SHOT_ERROR_UNKNOWN	’γνωστο σφάλμα στην επίθεση από απόσταση: %s
SKILL_BLEEDING	Αιμορραγία
SKILL_BOHO	Ανάκλαση
SKILL_BUDONG	δε χρησιμοποιείται πλέον
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Χρειάζεσαι EXP για να μάθεις αυτή την Ικανότητα.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Χρειάζεσαι ένα βιβλίο για να μάθεις αυτή την Ικανότητα.
SKILL_CHEONGEUN	Δυνατό Σώμα
SKILL_CRITICAL	Κρίσιμο χτύπημα
SKILL_ENCHANT_POISON	Χρήση δηλητηρίου
SKILL_EUNHYEONG	Παραλλαγή
SKILL_FAINT	Συσκότιση
SKILL_FIND_TRAP	Βρες Παγίδα
SKILL_FIRE	Μόνιμη Φωτιά
SKILL_FISHMIND	Ενεργός Βόλος Ψαρέματος
SKILL_GAMJI	Σύλληψη
SKILL_GEOMGYEONG	Αύρα του Ξίφους
SKILL_GEONGON	SKILL_GEONGON δε χρησιμοποιείται πλέον
SKILL_GICHEON	Βοήθεια του Δράκου
SKILL_GIGONG	Chi Περιστροφή
SKILL_GONGPO	Φόβος
SKILL_GRADE_NAME_GRAND_MASTER	%s Αρχιμάστορας
SKILL_GRADE_NAME_MASTER	%s Master
SKILL_GRADE_NAME_PERFECT_MASTER	%s Τέλειος Κύριος
SKILL_GROUP_ASSASSIN_1	Λεπίδα
SKILL_GROUP_ASSASSIN_2	Τόξο
SKILL_GROUP_HORSE	Ιππευτικές Ικανότητες
SKILL_GROUP_SHAMAN_1	Δράκοντας
SKILL_GROUP_SHAMAN_2	Θεραπεία
SKILL_GROUP_SURA_1	Όπλο
SKILL_GROUP_SURA_2	Μαγεία
SKILL_GROUP_WARRIOR_1	Σώμα
SKILL_GROUP_WARRIOR_2	Πνεύμα
SKILL_GWIGEOM	Μαγεμένη Λεπίδα
SKILL_GYEONGGONG	Φτερωτή Κίνηση
SKILL_HEUKSIN	Μαύρη Προστασία
SKILL_HOSIN	Ευλογία
SKILL_HWAYEOM	δε χρησιμοποιείται πλέον
SKILL_HYEOLMA	δε χρησιμοποιείται πλέον
SKILL_INC_ATKSPD	Αυξημένη ταχύτητα επίθεσης
SKILL_INC_MOVSPD	Αυξημένη ταχύτητα
SKILL_INMA	δε χρησιμοποιείται πλέον
SKILL_JEOJU	Κατάρα
SKILL_JEONGEOP	Θεραπεία
SKILL_JEONGWI	Έξαψη Μάχης
SKILL_JEONSINBANGEO	Τέλεια άμυνα
SKILL_JEONSINGONGGYEOK	Τέλεια Επίθεση
SKILL_JEUNGCHE	δε χρησιμοποιείται πλέον
SKILL_JEUNGHON	δε χρησιμοποιείται πλέον
SKILL_JEUNGRYEOK	Επίθεση +
SKILL_JEUNGSOK	Ταχύτητα +
SKILL_JIGAM	δε χρησιμοποιείται πλέον
SKILL_JIPJUNG	δε χρησιμοποιείται πλέον
SKILL_JUMAGAP	Μαγική Πανοπλία
SKILL_JUMAGEOM	δε χρησιμοποιείται πλέον
SKILL_KWAEGEOM	δε χρησιμοποιείται πλέον
SKILL_KWAESOK	Ταχύτητα
SKILL_LEGBOUND	δε χρησιμοποιείται πλέον
SKILL_MUSA	δε χρησιμοποιείται πλέον
SKILL_MUYEONG	Φάντασμα της Φλόγας
SKILL_NEED_EMPTY_BOTTLE	Δεν έχω άδειο Μπουκάλι.
SKILL_NEED_POISON_BOTTLE	Δεν έχω Μπουκάλι Δηλητήριου.
SKILL_ONLY_FOR_GUILD_WAR	Μπορείς να το χρησιμοποιήσεις μόνο σε Πόλεμο Συντεχνιών.
SKILL_PABEOP	Ξόρκι Εξουδετέρωσης
SKILL_POWERFUL_STRIKE	Επίθεση Αποχαύνωσης
SKILL_SEOMGWANG	Βόμβα Αστραπής
SKILL_SINCHAK	δε χρησιμοποιείται πλέον
SKILL_SLEEP	Ύπνος
SKILL_SLOW	Αργά
SKILL_STUN	Σάστισμα
SKILL_SUHO	Φρουρός
SKILL_SUMMON_DESCRIPTION	Πιθανότητα Επίκλησης: %d%%
SKILL_TOOLTIP_INT	Ευφυΐα
SKILL_TOOLTIP_LEVEL	Επίπεδο
SKILL_TOXICDIE	Δηλητηρίαση
SKILL_TOXICPOWER	Αυξήθηκε η δύναμη δηλητηριώδους επίθεσης.
SKILL_TUSOK	Στοιχειωμένο Χτύπημα
SKILL_WONSIN	δε χρησιμοποιείται πλέον
SKILL_YONGSIN	δε χρησιμοποιείται πλέον
STAT_MINUS_CON	Προσαρμογή Ζωτικότητας (Πιθανότητα: %d)
STAT_MINUS_DEX	Προσαρμογή Ευκινησίας (απομένει πιθανότητα: %d)
STAT_MINUS_INT	Ρύθμιση Ευφυΐας (Πιθανότητα: %d)
STAT_MINUS_STR	Ρύθμιση Δύναμης (Πιθανότητα: %d)
STAT_TOOLTIP_CON	Αύξηση HP και άμυνας
STAT_TOOLTIP_DEX	Αυξάνει επίθεση και αποφυγή
STAT_TOOLTIP_INT	Αύξηση SP, Μαγικής Επίθεσης και ’μυνας
STAT_TOOLTIP_STR	Αυξάνει αξία επίθεσης και ζημιά
SYMBOLLIST_TITLE	Καταχώρηση σημαίας Συντεχνίας
SYSTEM_OPTION_CPU_TILING_1	Η κατάσταση CPU Tiling μπορεί να αναβαθμίσει την ταχύτητα ενός αργού υπολογιστή.
SYSTEM_OPTION_CPU_TILING_2	Αν παρουσιαστούν προβλήματα γραφικών, επίλεξε «Ρυθμίσεις συστήματος» ή «CONFIG.exe».
SYSTEM_OPTION_CPU_TILING_3	και άλλαξε έτσι την κατάσταση σε GPU Tiling.
SYSTEM_OPTION_GPU_TILING_1	Η κατάσταση GPU Tiling μπορεί να εκτελείται πιο αργά σε έναν αργό υπολογιστή.
SYSTEM_OPTION_GPU_TILING_2	Αν υπάρχουν προβλήματα γραφικών, επίλεξε «Επιλογές συστήματος» ή «CONFIG.exe».
SYSTEM_OPTION_GPU_TILING_3	και άλλαξε έτσι την κατάσταση σε GPU Tiling.
SYSTEM_OPTION_TILING_EXIT	Για την αλλαγή της κατάστασης Tiling πρέπει να γίνει επανεκκίνηση παιχνιδιού.
TARGET_BUTTON_ACCEPT_FIGHT	Συμφωνία
TARGET_BUTTON_AVENGE	Εκδίκηση
TARGET_BUTTON_BUILDING_DESTROY	Καταστροφή
TARGET_BUTTON_DISMOUNT	Αφίππευση
TARGET_BUTTON_EMOTION_ALLOW	Συναισθήματα
TARGET_BUTTON_EXCHANGE	Ανταλλαγή
TARGET_BUTTON_EXCLUDE	Απόκλεισε
TARGET_BUTTON_EXIT_OBSERVER	Τέλος Observer Mode
TARGET_BUTTON_FIGHT	Μονομαχία
TARGET_BUTTON_FRIEND	Φίλος
TARGET_BUTTON_INVITE_GUILD	Πρόσκληση Συντεχνίας
TARGET_BUTTON_INVITE_PARTY	Πρόσκληση Ομάδας
TARGET_BUTTON_LEAVE_PARTY	Εγκατάλειψη Ομάδας
TARGET_BUTTON_REQUEST_ENTER_PARTY	Μπες στην Ομάδα
TARGET_BUTTON_VIEW_EQUIPMENT	Πανοπλία
TARGET_BUTTON_WHISPER	Ψίθυρος
TARGET_LEVEL_BOSS	Αρχηγός
TARGET_LEVEL_KING	Επίπεδο 5.
TARGET_LEVEL_KNIGHT	Επίπεδο 3.
TARGET_LEVEL_PAWN	Επίπεδο 1.
TARGET_LEVEL_S_KNIGHT	Επίπεδο 4.
TARGET_LEVEL_S_PAWN	Επίπεδο 2.
TASKBAR_ATTACK	Επίθεση
TASKBAR_AUTO	Αυτόματη επίθεση
TASKBAR_CAMERA	Κάμερα
TASKBAR_EXP	Εμπειρία
TASKBAR_HP	HP
TASKBAR_MOVE	Κίνηση
TASKBAR_SKILL	Ικανότητα
TASKBAR_SP	SP
TASKBAR_ST	ST
THING_COUNT	όλα
TOOLTIP_ANTI_CRITICAL_PCT	Αντίσταση σε κρίσιμα χτυπήματα +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Αντίσταση σε διατρητικά χτυπήματα +%d%%	SA
TOOLTIP_ANTI_SELL	Δε μπορεί να πωληθεί σε κατάστημα
TOOLTIP_APPLY_ACCEDRAIN_RATE	Πιθανότητα απορρόφησης: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Δυνατό ενάντια σε Ζώα +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Δυνατό ενάντια σε Νίντζα +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Δυνατό ενάντια σε Διάβολο +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Δυνατό ενάντια σε Ημιάνθρωπους +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Δυνατό ενάντια σε Μυστικιστές +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Δυνατό ενάντια σε Τέρατα +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Δυνατό ενάντια σε Ορκ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Δυνατό ενάντια σε Σαμάνους +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Δυνατό ενάντια σε Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Δυνατό ενάντια σε Απέθαντους +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Δυνατό ενάντια σε Πολεμιστές +%d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Επίθεση αιμορραγίας + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Αντίσταση σε επιθέσεις αιμορραγίας + %d%%	SA
TOOLTIP_APPLY_BLOCK	Πιθανότητα απόκρουσης επίθεσης σώμα με σώμα %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Επαναφέρει SP 5 δευτερόλεπτα σε μάχη %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Πιθανότητα Κρίσιμου Χτυπήματος +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% πιθανότητα να ανακτήσεις  SP όταν σε χτυπήσουν	SA
TOOLTIP_APPLY_DODGE	Πιθανότητα να αποφύγεις βέλη %d%%	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% πιθανότητα για EXP Bonus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% πιθανότητα για διπλάσια Yang	SA
TOOLTIP_APPLY_IMMUNE_FALL	Ανοσία στην πτώση	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	’μυνα στην καθυστέρηση	SNA
TOOLTIP_APPLY_IMMUNE_STUN	’μυνα στη συσκότιση	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% πιθανότητα για διπλάσια αντικείμενα	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% πιθανότητα ανάκτησης HP	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% πιθανότητα ανάκτησης SP	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% Πιθανότητα κλοπής Μάνα	SA
TOOLTIP_APPLY_MAX_HP_PCT	Μεγ. HP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Μεγ. SP +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Χωρίς αποτέλεσμα
TOOLTIP_APPLY_NO_DEATH_PENALTY	Δεν χάνονται βαθμοί εμπειρίας κατά την ανάσταση του χαρακτήρα στον τόπο θανάτου.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Πιθανό Χτύπημα Διάτρησης	SA
TOOLTIP_APPLY_POISON_PCT	Πιθανότητα Δηλητηρίασης %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Αντίσταση στο δηλητήριο %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Αύξηση επίδρασης %d%% φίλτρου	SA
TOOLTIP_APPLY_REFLECT_CURSE	Πιθανότητα ανάκλασης κατάρας: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% πιθανότητα ανάκλασης χτυπήματος σώμα με σώμα	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Πιθανότητες άμυνας από επιθέσεις ninja: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	’μυνα Καμπάνας %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	’μυνα Στιλέτου %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	’μυνα Βεντάλιας%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Πιθανότητες άμυνας από επιθέσεις shaman: %d%% 	SA
TOOLTIP_APPLY_RESIST_SURA	Πιθανότητες άμυνας από επιθέσεις sura: %d%% 	SA
TOOLTIP_APPLY_RESIST_SWORD	’μυνα Ξίφους %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	’μυνα Δύο Χεριών %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Πιθανότητες άμυνας από επιθέσεις warrior: %d%% 	SA
TOOLTIP_APPLY_RESIST_WIND	Αντίσταση Ανέμου %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Η πιθανότητα να μάθεις από τα βιβλία, αναβαθμίστηκε κατά παράγοντα 2,5.	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Αν αποτύχει η εκμάθηση, έχεις άλλη μια προσπάθεια.	SNA
TOOLTIP_APPLY_SLOW_PCT	%d%% πιθανότητα επιβράδυνσης	SA
TOOLTIP_APPLY_STEAL_HP	%d%% ζημιά θα απορροφηθεί από HP.	SA
TOOLTIP_APPLY_STEAL_SP	%d%% ζημιά απορροφάται από SP.	SA
