AFF_LOVE_POINT	Liefdespunten: %d%%	
PARTY_BONUS_EXP	Bonus ERV: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Max. TP: +%d	SA
PARTY_BONUS_TANKER	Max. LP: +%d	SA
PARTY_BREAK_UP	Verwijder Groep	
PARTY_DO_YOU_ACCEPT	 will zich aansluiten bij de Groep.	
PARTY_DO_YOU_JOIN	 heeft je uitgenodigd om in de groep te komen. Accepteer?
PARTY_EXP_DISTRIBUTION_MODE	ERV Verdeling	
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Level afhankelijk
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Hoger Level groepsleden ontvangen meer ERV.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Gelijk
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Alle Groepsleden ontvangen dezelfde ERV.	
PARTY_HEAL_ALL_MEMBER	Herstel alles.	
PARTY_INCREASE_AREA_150	Bereik van de GRoep verhoogt met een factor 1.5.	SNA
PARTY_INCREASE_AREA_200	Bereik van de Groep veerhoogd met een factor 2.	SNA
PARTY_LEAVE	Groep verlaten
PARTY_LONGTIME_BONUS_EXP	Bonus ERV voor een lange groeps spel: +%d%%	SA
PARTY_MEMBER_OFFLINE	[Offline]	
PARTY_RECALL_MEMBER	Roep een Groepslid.	
PARTY_REGEN_BONUS	Bonus voor LP- + TP  regeneratie: +%d%%	SA
PARTY_REQUEST_DENIED	Je uitnodiging is afgeslagen.
PARTY_SET_ATTACKER	Voor Aanvaller uitmaken.	
PARTY_SET_BERSERKER	Voor Woesteling uitmaken.	
PARTY_SET_BUFFER	Voor Blokkeerder uitmaken.	
PARTY_SET_DEFENDER	Voor Verdediger uitmaken.	
PARTY_SET_NORMAL	Instellingen terugtrekken.	
PARTY_SET_SKILL_MASTER	Voor Vaardigheid Meester uitmaken.	
PARTY_SET_TANKER	Als Mesvechter vastleggen	
PARTY_SKILL_ATTACKER	Basis Aanvals Waarde Aanvaller +%.0f	
PARTY_SKILL_BERSERKER	Aanval Snelheid Woesteling  +%.0f	
PARTY_SKILL_BUFFER	Vaardig. Duur Block +%.0f	
PARTY_SKILL_DEFENDER	Verdediging Verdediger +%.0f	
PARTY_SKILL_HP_REGEN	LP Regeneratie +%.0f%%	
PARTY_SKILL_PARTY_AREA	Groeps Bereik +%d%%	
PARTY_SKILL_SKILL_MASTER	Max. TP Vaardigheden Meester +%.0f	
PARTY_SKILL_SP_REGEN	TP Regeneratie +%.0f%%	
PARTY_SKILL_TANKER	Max. LP Mes Vechter +%.0f	
PARTY_SKILL_WARP	Mogelijk om groepsleden te roepen.	
PASSWORD_TITLE	Warenhuis wachtwoord
PICK_ITEM_TITLE	Voorwerp Nummer	
PICK_MONEY_TITLE	Som	
PRIVATE_SHOP_CANNOT_SELL_ITEM	Je kunt dit Voorwerp niet  verkopen in een privé Warenhuis.
PRIVATE_SHOP_CLOSE_QUESTION	Wil je deze privé Warenhuis sluiten?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Naam van de privé Warenhuis
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Prijs
PVP_LEVEL0	Ridderlijk	
PVP_LEVEL1	Nobel	
PVP_LEVEL2	Goed	
PVP_LEVEL3	Vriendelijk	
PVP_LEVEL4	Neutraal	
PVP_LEVEL5	Agressief	
PVP_LEVEL6	Frauduleus	
PVP_LEVEL7	Kwaadwillig	
PVP_LEVEL8	Gemeen	
PVP_MODE_GUILD	PvP - Gilde geactiveerd
PVP_MODE_KILL	PvP - Vrij geactiveerd
PVP_MODE_NORMAL	PvP - Vrede geactiveerd
PVP_MODE_PROTECT	PvP - Bescherming geactiveerd
PVP_MODE_REVENGE	PvP - Vijandig geactiveerd
PVP_OPTION_KILL	Vrij	
PVP_OPTION_NORMAL	Vrede	
PVP_OPTION_PROTECT	Bescherming	
PVP_OPTION_REVENGE	Vijandig	
QUEST_APPEND	Nieuwe Quest verworven.	
QUEST_MIN	Min.	
QUEST_SEC	Sec.	
QUEST_TIMEOVER	Tijd Verlopen	
QUEST_UNLIMITED_TIME	Geen tijd limiet.	
QUEST_ZEROSEC	0 Sec.	
QUICKSLOT_REGISTER_DISABLE_ITEM	Dit Voorwerp kan niet toegevoegd worden in de Snelle Toegangs Gebied	
RECEIVE_MESSAGE	%s heeft je een bericht gestuurd.	
REFINE_COST	Kosten voor Bevordering: %d Yang
REFINE_DESTROY_WARNING	Dit Voorwerp kan vernietigd worden tijden het opwaarderen.	
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Dit zal de kansen voor upwaarderen vergroten.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	Als je niet slaagt dan kan het Voorwerp vernietigd worden. /n Wil je doorgaan?
REFINE_DOWN_GRADE_WARNING	Dit Voorwerp kan gedegradeerd worden.	
REFINE_DO_YOU_SEPARATE_METIN	Wil je alle beschikbare Zielenstenen verwijderen?
REFINE_FAILURE	Je hebt gefaald.	
REFINE_FAILURE_CAN_NOT_ATTACH	%s kan niet toegevoegd worden aan dat Voorwerp.	
REFINE_FAILURE_EQUIP_ITEM	Je kunt geen voorwerpen die je draagt upgraden.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Er kon geen Zielen Steen weggehaald worden.	
REFINE_FAILURE_NEED_BETTER_SCROLL	Je hebt een betere Bevorderings Geschrift nodig.	
REFINE_FAILURE_NO_GOLD_SOCKET	Er is geen Goud fitting om %s in te zetten.	
REFINE_FAILURE_NO_MORE_SOCKET	Je kunt niet meer Fittingen maken.	
REFINE_FAILURE_NO_SOCKET0	Er is geen Fitting om %s in te zetten.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Je kunt geen Fitting maken in dit Voorwerp.	
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Dit Voorwerp kan niet geüpgrade worden.
REFINE_SUCCESS	Het bevorderen van het Voorwerp was successvol.	
REFINE_SUCCESS_PROBALITY	Kans op Bevordering %d%%	
REFINE_WARNING2	Wil je doorgaan?	
SAFEBOX_ERROR	Je hebt een verkeerde wachtwoord ingevoerd.	
SAFEBOX_SELL_DISABLE_SAFEITEM	Je kunt geen opgeslagen Voorwerpen verkopen.	
SAFEBOX_WRONG_PASSWORD	De wachtwoorden moeten identiek zijn.	
SCREENSHOT_SAVE1	is opgeslagen in	
SCREENSHOT_SAVE2	Screenshot Bestand	
SCREENSHOT_SAVE_FAILURE	Opslaan Screenshot mislukt.	
SECOND	Sec	
SELECT_CAN_NOT_DELETE	Je kunt de Charakter niet deleten.	
SELECT_CHANGED_NAME	Je hebt de naam van de karakter veranderd.	
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	De karakter naam bestaat al.	
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Probeer opnieuw.	
SELECT_CHANGE_FAILURE_STRANGE_NAME	Dat	
SELECT_CHANGE_NAME_TITLE	Verander karakter naam.	
SELECT_DELEING	Karakter zal verwijderd worden.	
SELECT_DELETED	Verwijdering successvol.	
SELECT_DO_YOU_DELETE_REALLY	Wil je doorgaan?	
SELECT_EMPTY_SLOT	Dit is een leeg veld.	
SELECT_GM_NAME	GM	
SELECT_INPUT_CHANGING_NAME	Voer een nieuwe karakter naam in.	
SELECT_NOT_JOIN_GUILD	Geen Gilde	
SHOP_BUY_INFO	Kies het Voorwerp dat je wilt kopen in het winkel venster.
SHOP_CANNOT_SELL_EQUIPMENT	Je kunt niet voorwerpen verkopen die je draagt.
SHOP_CANNOT_SELL_ITEM	Dit Voorwerp kan niet verkocht worden.
SHOP_ERROR_UNKNOWN	Onbekende Winkel fout: %s
SHOP_INVALID_POS	Dit Voorwerp kan hier niet gebruikt worden.
SHOP_INVENTORY_FULL	Je Inventaris is vol.
SHOP_NOT_ENOUGH_MONEY	Niet genoeg Yang
SHOP_NOT_ENOUGH_MONEY_EX	Je hebt niet genoeg Yang.
SHOP_SELL_INFO	Kies het Voorwerp dat verkocht gaat worden in je inventaris venster.
SHOP_SOLDOUT	Uitverkocht
SHOT_ERROR_UNKNOWN	Onbekende fout tijdens Lange Afstands Aanval: %s
SKILL_BLEEDING	Bloeden
SKILL_BOHO	Terugkaatsen	
SKILL_BUDONG	is niet meer gebruikt	
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Je hebt ERV nodig om deze Vaardigheid te leren.	
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Je hebt een boek nodig om deze Vaardigheid te leren.	
SKILL_CHEONGEUN	Sterk Lichaam	
SKILL_CRITICAL	Kritieke slag
SKILL_ENCHANT_POISON	Gif Toedienen	
SKILL_EUNHYEONG	Camouflage	
SKILL_FAINT	Blackout	
SKILL_FIND_TRAP	Vind Val	
SKILL_FIRE	Permanent Vuur	
SKILL_FISHMIND	Vissen bol is actief
SKILL_GAMJI	Verover	
SKILL_GEOMGYEONG	Aura van de Zwaard	
SKILL_GEONGON	SKILL_GEONGON Niet meer gebruikt	
SKILL_GICHEON	Draken Hulp
SKILL_GIGONG	Chi Wenteling	
SKILL_GONGPO	Angst	
SKILL_GRADE_NAME_GRAND_MASTER	%s Groot Meester	
SKILL_GRADE_NAME_MASTER	%s Meester	
SKILL_GRADE_NAME_PERFECT_MASTER	%s Perfecte Meester	
SKILL_GROUP_ASSASSIN_1	Mes	
SKILL_GROUP_ASSASSIN_2	Boog	
SKILL_GROUP_HORSE	Ruiter Vaardigheden	
SKILL_GROUP_SHAMAN_1	Draak	
SKILL_GROUP_SHAMAN_2	Heling	
SKILL_GROUP_SURA_1	Wapen	
SKILL_GROUP_SURA_2	Magie	
SKILL_GROUP_WARRIOR_1	Lichaam	
SKILL_GROUP_WARRIOR_2	Mentaal	
SKILL_GWIGEOM	Betoverd Mes	
SKILL_GYEONGGONG	Verderlicht Lopen	
SKILL_HEUKSIN	Donkere Bescherming	
SKILL_HOSIN	Zegening	
SKILL_HWAYEOM	SKILL_HWAYEOM Niet meer gebruikt	
SKILL_HYEOLMA	SKILL_HYEOLMA Niet meer gebruikt	
SKILL_INC_ATKSPD	Aanvals snelheid verhoogd
SKILL_INC_MOVSPD	Bewegings snelheid verhoogd
SKILL_INMA	SKILL_INMA Niet meer gebruikt	
SKILL_JEOJU	Vloek	
SKILL_JEONGEOP	Heling	
SKILL_JEONGWI	Gevechts Opvlieging	
SKILL_JEONSINBANGEO	Volle Verdediging	
SKILL_JEONSINGONGGYEOK	Volle Aanval	
SKILL_JEUNGCHE	SKILL_JEUNGCHE Niet meer gebruikt	
SKILL_JEUNGHON	SKILL_JEUNGHON Niet meer gebruikt	
SKILL_JEUNGRYEOK	Aanval +	
SKILL_JEUNGSOK	Beweging +	
SKILL_JIGAM	SKILL_JIGAM Niet meer gebruikt	
SKILL_JIPJUNG	SKILL_JIPJUNG Niet meer gebruikt	
SKILL_JUMAGAP	Betoverd Pantser	
SKILL_JUMAGEOM	SKILL_JUMAGEOM Niet meer gebruikt	
SKILL_KWAEGEOM	SKILL_KWAEGEOM Niet meer gebruikt	
SKILL_KWAESOK	Snelheid	
SKILL_LEGBOUND	SKILL_LEGBOUND Niet meer gebruikt	
SKILL_MUSA	SKILL_MUSA Niet meer gebruikt	
SKILL_MUYEONG	Geest van de Vlam	
SKILL_NEED_EMPTY_BOTTLE	Ik heb geen Lege Fles.	
SKILL_NEED_POISON_BOTTLE	Ik heb geen Gif Fles	
SKILL_ONLY_FOR_GUILD_WAR	Je kunt deze Vaardigheid alleen tijdens een Gilde Oorlog gebruiken.	
SKILL_PABEOP	Neutraliseer Spreuk	
SKILL_POWERFUL_STRIKE	Overdonderend Aanval	
SKILL_SEOMGWANG	Bliksem Bom	
SKILL_SINCHAK	SKILL_SINCHAK Niet meer gebruikt	
SKILL_SLEEP	Slaap	
SKILL_SLOW	Langzaam	
SKILL_STUN	Overdonderen	
SKILL_SUHO	Wachter
SKILL_SUMMON_DESCRIPTION	Kans van de Evocatie:  %d%%	
SKILL_TOOLTIP_INT	Intelligentie	
SKILL_TOOLTIP_LEVEL	Level	
SKILL_TOXICDIE	Vergiftiging	
SKILL_TOXICPOWER	Gif Aanval waarde verhoogd	
SKILL_TUSOK	Geest Slag	
SKILL_WONSIN	SKILL_WONSIN Niet meer gebruikt	
SKILL_YONGSIN	SKILL_YONGSIN Niet meer gebruikt	
STAT_MINUS_CON	Vitaliteits Afstelling (Resterende kans: %d)
STAT_MINUS_DEX	Behendigheids Afstelling (Resterende kans: %d)
STAT_MINUS_INT	Intelligentie Afstelling (Resterende Kans: %d)	
STAT_MINUS_STR	Kracht Afstelling (Resterende Kans: %d)	
STAT_TOOLTIP_CON	Verhoogd LP en Verdediging
STAT_TOOLTIP_DEX	Verhoogd Aanval en Handigheid
STAT_TOOLTIP_INT	Verhoogd TP, magische aanvalskracht en verdediging
STAT_TOOLTIP_STR	Verhoogd Aanvals waarde en Schade
SYMBOLLIST_TITLE	Registreer Gilde Vlag	
SYSTEM_OPTION_CPU_TILING_1	CPU Tiling Mode kan de snelheid van een zwakke PC verhogen.	
SYSTEM_OPTION_CPU_TILING_2	Al er een probleem is met de illustraties kies dan ,Systemoption‘ of ,CONFIG.exe‘	
SYSTEM_OPTION_CPU_TILING_3	en verander naar GPU Tiling Mode.	
SYSTEM_OPTION_GPU_TILING_1	GPU Tiling Mode kan langzaam draaien op een zwakke PC.
SYSTEM_OPTION_GPU_TILING_2	Als er problemen zijn met de illustraties, kies 'Systeem Opties‘ of 'CONFIG.exe‘
SYSTEM_OPTION_GPU_TILING_3	en verander naar GPU Tiling Mode.
SYSTEM_OPTION_TILING_EXIT	Om naar de Tiling Mode te veranderen moet het spel gerestart worden.
TARGET_BUTTON_ACCEPT_FIGHT	Toestemmen	
TARGET_BUTTON_AVENGE	Wraak	
TARGET_BUTTON_BUILDING_DESTROY	Vernietigen	
TARGET_BUTTON_DISMOUNT	Afstijgen
TARGET_BUTTON_EMOTION_ALLOW	Emoties	
TARGET_BUTTON_EXCHANGE	Handelen	
TARGET_BUTTON_EXCLUDE	Uitsluiten	
TARGET_BUTTON_EXIT_OBSERVER	Beëndig Toeschouwer Mode	
TARGET_BUTTON_FIGHT	Duel	
TARGET_BUTTON_FRIEND	Vriend	
TARGET_BUTTON_INVITE_GUILD	Gilde Uitnodiging	
TARGET_BUTTON_INVITE_PARTY	Groeps Uitnodiging	
TARGET_BUTTON_LEAVE_PARTY	Verlaat Groep	
TARGET_BUTTON_REQUEST_ENTER_PARTY	Aansluiten bij Groep	
TARGET_BUTTON_VIEW_EQUIPMENT	Pantser
TARGET_BUTTON_WHISPER	Fluisteren	
TARGET_LEVEL_BOSS	Baas	
TARGET_LEVEL_KING	Level 5.	
TARGET_LEVEL_KNIGHT	Level 3.	
TARGET_LEVEL_PAWN	Level 1.	
TARGET_LEVEL_S_KNIGHT	Level 4.	
TARGET_LEVEL_S_PAWN	Level 2.	
TASKBAR_ATTACK	Aanvallen	
TASKBAR_AUTO	Automatisch Aanvallen
TASKBAR_CAMERA	Camera	
TASKBAR_EXP	Ervaring	
TASKBAR_HP	LP	
TASKBAR_MOVE	Beweeg	
TASKBAR_SKILL	Vaardigheid	
TASKBAR_SP	TP	
TASKBAR_ST	UV	
THING_COUNT	alle	
TOOLTIP_ANTI_CRITICAL_PCT	Weerstand tegen kritieke slagen +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Weerstand tegen perforerende slagen +%d%%	SA
TOOLTIP_ANTI_SELL	Kan niet verkocht worden in een Warenhuis
TOOLTIP_APPLY_ACCEDRAIN_RATE	Absorberingswaarde: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Sterk tegen Dieren +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Sterk tegen Ninjas +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Sterk tegen Duivel +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Sterk tegen Halfmensen +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Sterk tegen Mystici +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Sterk tegen Monster +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Sterk tegen Orks +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Sterk tegen Sjamaan +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Sterk tegen Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Sterk tegen Ondoden +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Sterk tegen Krijger +%d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Bloedingsaanval + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Weerstand tegen Bloedingsaanvallen + %d%%	SA
TOOLTIP_APPLY_BLOCK	%d%% Kans om Aanvallen te blokkeren tegen het Lichaam	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Herstel TP in 5 seconden in een gevecht %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Kans op Kritieke Slag +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Kans om TP terug te krijgen wanneer je wordt geraakt	SA
TOOLTIP_APPLY_DODGE	Kans om Pijlen te ontwijken %d%% 	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% Kans op ERV Bonus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% Kans om dubbele Yang te laten vallen	SA
TOOLTIP_APPLY_IMMUNE_FALL	Immuun tegen neervallen	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Verdediging tegen langzaam maken	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Verdediging tegen blackouts	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Kans om dubbel zo veel Voorwerpen te laten vallen	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% Kans om LP te herstellen	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% Kans om TP te herstellen	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% Kans om de TP van de vijand te nemen	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. LP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. TP +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Geen effect	
TOOLTIP_APPLY_NO_DEATH_PENALTY	Er zullen geen ervaringspunten verloren gaan wanneer je karakter tot leven is gewekt op de plek van zijn dood	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Kans op Penetrerende Schoten	SA
TOOLTIP_APPLY_POISON_PCT	Vergiftigings Kans: %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Vergif Weerstand: %d%% 	SA
TOOLTIP_APPLY_POTION_BONUS	Brouwsel %d%% effect verhoging	SA
TOOLTIP_APPLY_REFLECT_CURSE	Kans om vloek te weerkaatsen: %d%% 	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% Kans om directe lichaam slag te weerkaatsen	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Verdedigings kans tegen Ninja aanvallen: %d%% 	SA
TOOLTIP_APPLY_RESIST_BELL	Bel Verdediging %d%% 	SA
TOOLTIP_APPLY_RESIST_DAGGER	Mes Verdediging %d%% 	SA
TOOLTIP_APPLY_RESIST_FAN	Waaier Verdediging %d%% 	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Verdedigings Kans tegen Sjamaam aanvallen: %d%% 	SA
TOOLTIP_APPLY_RESIST_SURA	Verdedigings Kans tegen Sura aanvallen: %d%% 	SA
TOOLTIP_APPLY_RESIST_SWORD	Zwaard Verdediging %d%% 	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Twee-Handig Verdediging %d%% 	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Verdediging Kans tegen Krijger aanvallen: %d%% 	SA
TOOLTIP_APPLY_RESIST_WIND	Wind Weerstand %d%% 	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Kans om van boeken te leren verhoogd met factor 2.5.	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Als leren faalt wordt de Gemene Geest Vloek opgeheven.	SNA
TOOLTIP_APPLY_SLOW_PCT	Langzaam maken Kans: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% Schade zal geabsorbeerd worden door LP.	SA
TOOLTIP_APPLY_STEAL_SP	%d%% Schade zal geabsorbeerd worden door TP	SA
TOOLTIP_APPLY_STUN_PCT	Kans op Blackout: %d%%	SA
TOOLTIP_ARMOR	Pantser	
TOOLTIP_ARROW	Pijl	
TOOLTIP_ASSASSIN	Ninja	
TOOLTIP_ATT_GRADE	Aanvals waarde +%d	SA
TOOLTIP_ATT_SPEED	Aanvals Snelheid +%d	SA
TOOLTIP_AUTO_POTION_HP	Zon Elixer
TOOLTIP_AUTO_POTION_REST	Resterend: %.2f%%
TOOLTIP_AUTO_POTION_SP	Maan Elixer
TOOLTIP_AUTO_POTION_USING	Actief
TOOLTIP_BOW_DISTANCE	Boog Bereik +%dm	SA
TOOLTIP_BUYPRICE	Prijs: %s	
TOOLTIP_CAST_SPEED	Spreuk Snelheid: +%d%%	SA
TOOLTIP_CON	Vitaliteit +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Kostuum bonus %d%%	 SA
TOOLTIP_DEF_GRADE	Verdediging +%d	SA
TOOLTIP_DEX	Behendigheid +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Aarde	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Lucht	SNA
TOOLTIP_EAR	Oorbel	
TOOLTIP_ENERGY	Energie %d	SA
TOOLTIP_ETC	En zo voorts	
TOOLTIP_FISHINGROD_EXP	Punten  %d / %d	
TOOLTIP_FISHINGROD_LEVEL	Level: %d	
TOOLTIP_FISHINGROD_UPGRADE1	Geef het aan de Visserman
TOOLTIP_FISHINGROD_UPGRADE2	om een betere
TOOLTIP_FISHINGROD_UPGRADE3	Vis Hengel te krijgen.
TOOLTIP_FISH_LEN	Lengte: %.2fcm	
TOOLTIP_HELMET	Helm	
TOOLTIP_HP_REGEN	LP Regeneratie +%d%%	SA
TOOLTIP_INT	Intelligentie +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Aanvals Waarde %d	
TOOLTIP_ITEM_ATT_POWER	Aanvals Waarde %d - %d	
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Aanvals Waarde %d	
TOOLTIP_ITEM_ATT_POWER_REFINE	Aanvals Waarde %d - %d (+%d)	
TOOLTIP_ITEM_ATT_SPEED	Aanvals Snelheid %s	
TOOLTIP_ITEM_DEF_GRADE	Verdediging %d	
TOOLTIP_ITEM_FAST	Snel	
TOOLTIP_ITEM_LIMIT_CON	Vitaliteits bovengrens: %d
TOOLTIP_ITEM_LIMIT_DEX	Behendigheids bovengrens: %d
TOOLTIP_ITEM_LIMIT_INT	Intelligentie Boven Limiet: %d	
TOOLTIP_ITEM_LIMIT_LEVEL	Van Level: %d	
TOOLTIP_ITEM_LIMIT_STR	Kracht Boven Limiet: %d	
TOOLTIP_ITEM_MAGIC_ATT_POWER	Magische Aanvals Waarde %d - %d	
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Magische Aanvals Waarde %d	
TOOLTIP_ITEM_MAGIC_DEF_POWER	Magische Verdediging %d	
TOOLTIP_ITEM_NORMAL	Normaal	
TOOLTIP_ITEM_SLOW	Langzaam	
TOOLTIP_ITEM_VERY_FAST	Heel snel	
TOOLTIP_ITEM_VERY_SLOW	Heel langzaam	
TOOLTIP_ITEM_WEARABLE_JOB	[ Draagbaar ]	
TOOLTIP_LOTTERY_STEP_NUMBER	%d	
TOOLTIP_LOTTO_NUMBER	Geluks Nummer: %d	
TOOLTIP_MAGIC_ATTBONUS_PER	Magische aanval +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Magische Aanvals Waarde +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Magische Verdediging +%d	SA
TOOLTIP_MALL_ATTBONUS	Aanvals Waarde +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Aanvals Waarde +12~15%	SNA
TOOLTIP_MALL_AUTOLOOT	Een hand die automatisch gevallen Yang opraapt.	SNA
TOOLTIP_MALL_DEFBONUS	Verdediging +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Verdediging +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	ERV +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe ERV Bonus +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	Verhoogt ontvangen ERV met 50%	SNA
TOOLTIP_MALL_FISH_MIND	Je kans om een zeldzame vis te vangen is verdubbeld.	SNA
TOOLTIP_MALL_GOLDBONUS	Kans om Yang buit te maken is vermenigvuldigd met %.1f	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Verdubbelt je kans om Yang buit te maken	SNA
TOOLTIP_MALL_ITEMBONUS	Kans om Voorwerpen buit te maken vermenigvuldigd met %.1f	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Kans om Voorwerpen buit te maken %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Verdubbelt je kansen om Voorwerpen buit te maken	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Liefdespunten verhogen sneller.	SNA
TOOLTIP_MALL_SAFEBOX	Je opslag krijgt 2 opslag ruimtes	SNA
TOOLTIP_MAX_HP	Max. LP +%d	SA
TOOLTIP_MAX_HP_PCT	Max. LP +%d%%	SA
TOOLTIP_MAX_SP	Max. TP +%d	SA
TOOLTIP_MAX_SP_PCT	Max. TP +%d%%	SA
TOOLTIP_MAX_STAMINA	Max. Uithoudingsvermogen +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Magische/fysieke aanval +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)	
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)	
TOOLTIP_MOV_SPEED	Beweeg Snelheid %d%%	SA
TOOLTIP_NECK	Ketting	
TOOLTIP_NEED_ALL_SP	Benodigde TP: Max.	
TOOLTIP_NEED_GSP	Benodigde Drankengeest: %d
TOOLTIP_NEED_HP	Benodigde LP: %d	
TOOLTIP_NEED_HP_PER_SEC	LP / Sec.: %d
TOOLTIP_NEED_SKILL_POINT	Benodigde Vaardigheids Punten:	
TOOLTIP_NEED_SP	Benodigde TP: %d	
TOOLTIP_NEED_SP_PER_SEC	TP / Sec.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Volgende Level: %d (Max. %d)	
TOOLTIP_NEXT_SKILL_LEVEL_2	Volgende Level: %d (Max. %d-%d)	
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Gemiddelde Schade %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Gemiddelde Schade Weerstand %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Meer dan %d Groeps leden.	
TOOLTIP_PARTY_INFO_GRADE_UP2	Aanvals Level +%d	
TOOLTIP_PARTY_INFO_GRADE_UP3	Verdedigings Level +%d	
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Herstelet LP/TP voor alle Groepsleden voor 60 minuten.	
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Herstelt LP/TP voor alle Groepsleden voor 30 minuten	
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Je moet 3 minuten wachten na de dood van een groepslid.	
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Je kunt Groepsleden die op dezelfde server zitten altijd roepen.	
