AFF_LOVE_POINT	Kærlighedspoint: %d%%
PARTY_SKILL_ATTACKER	Basis-angrebsværdi angriber +%.0f	
PARTY_SKILL_BERSERKER	Angrebshastighed Berserker +%.0f
PARTY_SKILL_BUFFER	Færdighedslængde blokering +%.0f
PARTY_SKILL_DEFENDER	Forsvar forsvarer +%.0f
PARTY_SKILL_HP_REGEN	HP-regeneration +%.0f%%
PARTY_SKILL_PARTY_AREA	Grupperækkevidde +%d%%
PARTY_SKILL_SKILL_MASTER	Max. MP færdighedsmester +%.0f
PARTY_SKILL_SP_REGEN	MP-regeneration +%.0f%%
PARTY_SKILL_TANKER	Max. HP nærkamp +%.0f
PARTY_SKILL_WARP	Kan påkalde gruppemedlemmer.
PASSWORD_TITLE	Gem kodeord
PICK_ITEM_TITLE	Genstandsnr.
PICK_MONEY_TITLE	Bidrag
PRIVATE_SHOP_CANNOT_SELL_ITEM	Du kan ikke sælge denne genstand i private butikker.
PRIVATE_SHOP_CLOSE_QUESTION	Vil du lukke din private butik?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Butikkens navn.
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Pris
PVP_LEVEL0	Ridderlig
PVP_LEVEL1	Ædel
PVP_LEVEL2	God
PVP_LEVEL3	Venlig
PVP_LEVEL4	Neutral
PVP_LEVEL5	Aggresiv
PVP_LEVEL6	Bedragerrisk
PVP_LEVEL7	Ond
PVP_LEVEL8	Grusom
PVP_MODE_GUILD	PvP - Ordensmode blev aktiveret
PVP_MODE_KILL	PvP - fri blev aktiveret
PVP_MODE_NORMAL	PvP - fred blev aktiveret
PVP_MODE_PROTECT	PvP - beskyttelse blev aktiveret
PVP_MODE_REVENGE	PvP - fjendtlig blev aktiveret
PVP_OPTION_KILL	Fri
PVP_OPTION_NORMAL	Fred
PVP_OPTION_PROTECT	Beskyttelse
PVP_OPTION_REVENGE	Fjendtlig
QUEST_APPEND	Ny opgave blev modtaget.
QUEST_MIN	Min.
QUEST_SEC	Sek.
QUEST_TIMEOVER	Tiden er gået
QUEST_UNLIMITED_TIME	Ingen tidsbegrænsning.
QUEST_ZEROSEC	0 Sek.
QUICKSLOT_REGISTER_DISABLE_ITEM	Denne genstand kan ikke aktiveres via hurtigmenuen.
RECEIVE_MESSAGE	%s har sendt dig en meddelelse.
REFINE_COST	Forbedringsomkostninger: %d Yang
REFINE_DESTROY_WARNING	Denne genstand kan gå i stykker ved forbedring.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Dette øger forbedrings-sandsynligheden,
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	men hvis det mislykkes bliver genstanden ødelagt. Vil du fortsætte?
REFINE_DOWN_GRADE_WARNING	Det kan ske at genstanden mister en level.
REFINE_DO_YOU_SEPARATE_METIN	Vil du fjerne alle ånde-stenene?
REFINE_FAILURE	Desværre... Det mislykkede!
REFINE_FAILURE_CAN_NOT_ATTACH	%s kan ikke tilføjes til denne genstand.
REFINE_FAILURE_EQUIP_ITEM	Du kan ikke forbedre den udvalgte genstand, da den er i brug.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Der kan ikke fjernes en ånde-sten.
REFINE_FAILURE_NEED_BETTER_SCROLL	Du har brug for et detaljeret forbedrings-dokument.
REFINE_FAILURE_NO_GOLD_SOCKET	Der findes ingen guld-indfatning for at tilføje %s .
REFINE_FAILURE_NO_MORE_SOCKET	Du kan ikke tilføje yderligere indfatninger.
REFINE_FAILURE_NO_SOCKET0	Der findes ingen indfatning for at tilføje %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	På denne genstand der der ikke tilføjes en indfatning.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Denne genstand kan ikke blive forbedret.
REFINE_SUCCESS	Succesfuld forbedringen!
REFINE_SUCCESS_PROBALITY	Forbedrings-sandsynlighed: %d%%
REFINE_WARNING2	Ønsker du at fortsætte?
SAFEBOX_ERROR	Du har indtastet et forkert kodeord.
SAFEBOX_SELL_DISABLE_SAFEITEM	Du kan ikke sælge gemte genstande.
SAFEBOX_WRONG_PASSWORD	Kodeorderne skal være identiske.
SCREENSHOT_SAVE1	er gemt i
SCREENSHOT_SAVE2	Screenshot-mappen
SCREENSHOT_SAVE_FAILURE	Der opstod en fejl. Screenshottet blev ikke gemt.
SECOND	Sek
SELECT_CAN_NOT_DELETE	Du kan ikke slette denne karakter.
SELECT_CHANGED_NAME	Du har skiftet navn på karakteren.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Dette navn er allerede i brug.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Prøv igen.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Dette er et forkert karakternavn.
SELECT_CHANGE_NAME_TITLE	Skift karakternavn
SELECT_DELEING	Karakteren bliver slettet
SELECT_DELETED	Sletning succesfuld.
SELECT_DO_YOU_DELETE_REALLY	Ønsker du at fortsætte?
SELECT_EMPTY_SLOT	Dette er et tomt felt.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Angiv et nyt karakternavn.
SELECT_NOT_JOIN_GUILD	Ingen Orden
SHOP_BUY_INFO	Vælg den genstand du vil købe i butik-vinduet.
SHOP_CANNOT_SELL_EQUIPMENT	Du kan ikke sælge genstanden, da den er i brug.
SHOP_CANNOT_SELL_ITEM	Denne genstand kan ikke sælges.
SHOP_ERROR_UNKNOWN	Ukendt load-fejl: %s
SHOP_INVALID_POS	Denne genstand er ikke egnet til det.
SHOP_INVENTORY_FULL	Dit inventar er fyldt.
SHOP_NOT_ENOUGH_MONEY	Ikke nok Yang
SHOP_NOT_ENOUGH_MONEY_EX	Du har ikke Yang nok.
SHOP_SELL_INFO	Vælg i dit inventarvindue, hvilken genstand du ønsker at sælge.
SHOP_SOLDOUT	Udsolgt
SHOT_ERROR_UNKNOWN	Ukendt langdistance angrebsfejl: %s
SKILL_BLEEDING	Blødning
SKILL_BOHO	Reflektere
SKILL_BUDONG	Er ikke længere i brug
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Du har brug for erfaringspoint for at lære denne færdighed.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Du har brug for en bog for at lære denne færdighed.
SKILL_CHEONGEUN	Stærk krop
SKILL_CRITICAL	Kritisk slag
SKILL_ENCHANT_POISON	Brug gift
SKILL_EUNHYEONG	Usynligt
SKILL_FAINT	Besvime
SKILL_FIND_TRAP	Søg fælde
SKILL_FIRE	Forbrænding
SKILL_FISHMIND	Fiske kugle bliver brugt
SKILL_GAMJI	Vælge
SKILL_GEOMGYEONG	Sværd-aura
SKILL_GEONGON	SKILL_GEONGON Bliver ikke benyttet mere
SKILL_GICHEON	Dragehjælp
SKILL_GIGONG	Chi-Rotation
SKILL_GONGPO	Frygt
SKILL_GRADE_NAME_GRAND_MASTER	%s Stormester
SKILL_GRADE_NAME_MASTER	%s Mester
SKILL_GRADE_NAME_PERFECT_MASTER	%s perfekt Mester
SKILL_GROUP_ASSASSIN_1	Klinge
SKILL_GROUP_ASSASSIN_2	Bue
SKILL_GROUP_HORSE	Riddekunst
SKILL_GROUP_SHAMAN_1	Drage
SKILL_GROUP_SHAMAN_2	Helbredelse
SKILL_GROUP_SURA_1	Våben
SKILL_GROUP_SURA_2	Magi
SKILL_GROUP_WARRIOR_1	Krop
SKILL_GROUP_WARRIOR_2	Mental
SKILL_GWIGEOM	Fortryllet klinge
SKILL_GYEONGGONG	Dunlet gang
SKILL_HEUKSIN	Mørk beskyttelse
SKILL_HOSIN	Velsignelse
SKILL_HWAYEOM	SKILL_HWAYEOM Bliver ikke benyttet mere
SKILL_HYEOLMA	SKILL_HYEOLMA Bliver ikke benyttet mere
SKILL_INC_ATKSPD	Angrebshastighed øges
SKILL_INC_MOVSPD	Bevægelseshastighed øges
SKILL_INMA	SKILL_INMA Bliver ikke benyttet mere
SKILL_JEOJU	Forbandelse
SKILL_JEONGEOP	Helbrede
SKILL_JEONGWI	Kamprus
SKILL_JEONSINBANGEO	Fuld forsvar
SKILL_JEONSINGONGGYEOK	Fuld angreb
SKILL_JEUNGCHE	SKILL_JEUNGCHE Bliver ikke benyttet mere
SKILL_JEUNGHON	SKILL_JEUNGHON Bliver ikke benyttet mere
SKILL_JEUNGRYEOK	Angreb +
SKILL_JEUNGSOK	Hastighed +
SKILL_JIGAM	SKILL_JIGAM Bliver ikke benyttet mere
SKILL_JIPJUNG	SKILL_JIPJUNG Bliver ikke benyttet mere
SKILL_JUMAGAP	Fortryllet rustning
SKILL_JUMAGEOM	SKILL_JUMAGEOM Bliver ikke benyttet mere
SKILL_KWAEGEOM	SKILL_KWAEGEOM Bliver ikke benyttet mere
SKILL_KWAESOK	Hastighed
SKILL_LEGBOUND	SKILL_LEGBOUND Bliver ikke benyttet mere
SKILL_MUSA	SKILL_MUSA Bliver ikke benyttet mere
SKILL_MUYEONG	Ild-ånden
SKILL_NEED_EMPTY_BOTTLE	Jeg har ingen tom flaske.
SKILL_NEED_POISON_BOTTLE	Jeg har ingen giftflaske.
SKILL_ONLY_FOR_GUILD_WAR	Denne færdighed kan kun bruges i Ordens-kampe.
SKILL_PABEOP	Fjern magi
SKILL_POWERFUL_STRIKE	Bedøvelses-angreb
SKILL_SEOMGWANG	Lynbombe
SKILL_SINCHAK	SKILL_SINCHAK Bliver ikke benyttet mere
SKILL_SLEEP	Sove
SKILL_SLOW	Langsom
SKILL_STUN	Bedøve
SKILL_SUHO	Vagt
SKILL_SUMMON_DESCRIPTION	Sandsynlighed for besværgelser: %d%%
SKILL_TOOLTIP_INT	Intelligens
SKILL_TOOLTIP_LEVEL	Level
SKILL_TOXICDIE	Forgiftning
SKILL_TOXICPOWER	Giftangreb bliver forbedret
SKILL_TUSOK	ånde-stød
SKILL_WONSIN	SKILL_WONSIN Bliver ikke benyttet mere
SKILL_YONGSIN	SKILL_YONGSIN Bliver ikke benyttet mere
STAT_MINUS_CON	Vitalitets-tilpasning(Tilbagestående chance: %d)
STAT_MINUS_DEX	Smidighed-tilpasning (Sandsynlighed: %d)
STAT_MINUS_INT	Intelligens-tilpasning (Sandsynlighed: %d)
STAT_MINUS_STR	Styrke-tilpasning (Sandsynlighed: %d)
STAT_TOOLTIP_CON	HP og forsvar bliver forbedret
STAT_TOOLTIP_DEX	Nøjagtighed og flugt bliver forbedret
STAT_TOOLTIP_INT	MP, magisk styrke og forsvar bliver forbedret.
STAT_TOOLTIP_STR	Angrebsværdi og skade bliver forbedret
SYMBOLLIST_TITLE	Tilmeld Ordensflag
SYSTEM_OPTION_CPU_TILING_1	CPU-Tiling-Mode kan øge hastigheden for svage computere.
SYSTEM_OPTION_CPU_TILING_2	Hvis der opstår grafik-problemer, vælg "Systemindstillinger" eller "config.exe"
SYSTEM_OPTION_CPU_TILING_3	og skift til GPU-Tiling-Mode
SYSTEM_OPTION_GPU_TILING_1	GPU-Tiling-Mode kan køres på svagere computere
SYSTEM_OPTION_GPU_TILING_2	Hvis der opstår grafik-problemer, vælg 'Systemindstillinger' eller 'Config.exe'
SYSTEM_OPTION_GPU_TILING_3	og skift til CPU-Tiling-Mode
SYSTEM_OPTION_TILING_EXIT	For at skifte til Tiling-Mode skal spillet genstartes.
TARGET_BUTTON_ACCEPT_FIGHT	Accepter
TARGET_BUTTON_AVENGE	Hævn
TARGET_BUTTON_BUILDING_DESTROY	Ødelægge
TARGET_BUTTON_DISMOUNT	Stå af hesten
TARGET_BUTTON_EMOTION_ALLOW	Emotioner
TARGET_BUTTON_EXCHANGE	Handel
TARGET_BUTTON_EXCLUDE	Udelukke
TARGET_BUTTON_EXIT_OBSERVER	Afslut tilskuersyn
TARGET_BUTTON_FIGHT	Duel
TARGET_BUTTON_FRIEND	Ven
TARGET_BUTTON_INVITE_GUILD	Ordens invitation
TARGET_BUTTON_INVITE_PARTY	Gruppe invitation
TARGET_BUTTON_LEAVE_PARTY	Forlad gruppe
TARGET_BUTTON_REQUEST_ENTER_PARTY	Join gruppen
TARGET_BUTTON_VIEW_EQUIPMENT	Udrystning
TARGET_BUTTON_WHISPER	Hviske
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Level 5.
TARGET_LEVEL_KNIGHT	Level 3.
TARGET_LEVEL_PAWN	Level 1.
TARGET_LEVEL_S_KNIGHT	Level 4.
TARGET_LEVEL_S_PAWN	Level 2.
TASKBAR_ATTACK	Angribe
TASKBAR_AUTO	Angrib automatisk
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Erfaring
TASKBAR_HP	HP
TASKBAR_MOVE	Bevæge
TASKBAR_SKILL	Færdighed
TASKBAR_SP	MP
TASKBAR_ST	OP
THING_COUNT	alle
TOOLTIP_ANTI_CRITICAL_PCT	Forsvar mod kritisk hit +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Forsvar mod gennemborende angreb +%d%%	SA
TOOLTIP_ANTI_SELL	Kan ikke sælges i butikken.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Optagelses rate: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Stærk mod dyr +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Stærk mod ninjas +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Stærk mod djævel +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Stærk mod halvmennesker +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Stærk mod esoteriker +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Stærk mod monstre +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Stærk mod ork +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Stærk mod shamaner +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Stærk mod sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Stærk mod ikke-døde +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Stærk mod kriger +%d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Blødnings angreb + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Modstand imod blødnings angreb + %d%%	SA
TOOLTIP_APPLY_BLOCK	Sandsynlighed for at blokere fysisk angreb %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Gendan i kamp alle 5 Sek. MP %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Sandsynlighed for et kritisk slag +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% sandsynlighed for at få MP tilbage efter et hit	SA
TOOLTIP_APPLY_DODGE	%d%% sandsynlighed at undvige pilangreb	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% sandsynlighed for erfarings-bonus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% sandsynlighed at få doppelt Yang	SA
TOOLTIP_APPLY_IMMUNE_FALL	Immun overfor væltning i kamp	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Forsvar mod sløvhed	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Forsvar mod besvimelse	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% sandsynlighed for at få doppelte genstande	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% sandsynlighed for at gendanne HP	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% sandsynlighed for at gendanne MP	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% sandsynlighed at overtage fjendens MP.	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max HP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max MP +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Ingen virkning
TOOLTIP_APPLY_NO_DEATH_PENALTY	Hvis din karakter dør mister du ingen erfaringspoint.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% sandsynlighed for gennemborende slag	SA
TOOLTIP_APPLY_POISON_PCT	Sandsynlighed for Forgiftning %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Giftmodstand %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Eliksir %d%% effektøgning	SA
TOOLTIP_APPLY_REFLECT_CURSE	%d%% sandsynlighed for at reflektere en forbandelse	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% sandsynlighed for at reflektere fysisk angreb	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Forsvar mod ninjaangreb: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Klokkeforsvar %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Dolkforsvar %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Vifteforsvar %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Forsvar mod shamanangreb: %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Forsvar mod suraangreb: %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Sværdforsvar %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Tohåndssværdforsvar %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Forsvar mod krigerangreb: %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Luftmodstand %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Sandsynlighed at lære ved læsning af bøger er øget med faktor 2½.	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Hvis læsningen mislykkes kan du læse en anden bog med det samme.	SNA
TOOLTIP_APPLY_SLOW_PCT	Chance for at sløve modstanderen %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% af skaden vil blive absorberet af HP	SA
TOOLTIP_APPLY_STEAL_SP	%d%% af skaden vil blive absorberet af MP	SA
TOOLTIP_APPLY_STUN_PCT	Besvimelses sandsynlighed %d%%	SA
TOOLTIP_ARMOR	Rustning
TOOLTIP_ARROW	Pil
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Angrebsværdi +%d	SA
TOOLTIP_ATT_SPEED	Angrebshastighed +%d%%	SA
TOOLTIP_AUTO_POTION_HP	Sol Eliksir
TOOLTIP_AUTO_POTION_REST	Resterende: %.2f%%
TOOLTIP_AUTO_POTION_SP	Måne Eliksir
TOOLTIP_AUTO_POTION_USING	Aktiv
TOOLTIP_BOW_DISTANCE	Buerækkevidde +%dm	SA
TOOLTIP_BUYPRICE	Pris: %s
TOOLTIP_CAST_SPEED	Magihastighed +%d%%	SA
TOOLTIP_CON	Vitalitet +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Kostume bonus %d%%	SA
TOOLTIP_DEF_GRADE	Forsvar +%d	SA
TOOLTIP_DEX	Smidighed +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Jorden	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Hilmmel	SNA
TOOLTIP_EAR	Ørering
TOOLTIP_ENERGY	Energi %d	SA
TOOLTIP_ETC	osv.
TOOLTIP_FISHINGROD_EXP	Points: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Level: %d
TOOLTIP_FISHINGROD_UPGRADE1	Giv til fiskeren
TOOLTIP_FISHINGROD_UPGRADE2	for at forbedre den
TOOLTIP_FISHINGROD_UPGRADE3	til en bedre fiskestang.
TOOLTIP_FISH_LEN	Længde: %.2fcm
TOOLTIP_HELMET	Hjelm
TOOLTIP_HP_REGEN	HP-regeneration +%d%%	SA
TOOLTIP_INT	Intelligens +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Angrebsværdi %d
TOOLTIP_ITEM_ATT_POWER	Angrebsværdi %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Angrebsværdi %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Angrebsværdi %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Angrebshastighed %s
TOOLTIP_ITEM_DEF_GRADE	Forsvar %d
TOOLTIP_ITEM_FAST	Hurtig
TOOLTIP_ITEM_LIMIT_CON	Maksimal Vitalitet: %d
TOOLTIP_ITEM_LIMIT_DEX	Smidigheds grænse: %d
TOOLTIP_ITEM_LIMIT_INT	Intelligens-grænse: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Mindste lvl: %d
TOOLTIP_ITEM_LIMIT_STR	Styrke-grænse: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Magisk angrebsværdi %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Magisk angrebsværdi %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Magisk forsvar %d
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Langsom
TOOLTIP_ITEM_VERY_FAST	Meget hurtig
TOOLTIP_ITEM_VERY_SLOW	Meget langsom
TOOLTIP_ITEM_WEARABLE_JOB	[ Udrustning ]	
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Lykkental: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Magisk angreb +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Magisk angrebsværdi +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Magisk forsvar +%d	SA
TOOLTIP_MALL_ATTBONUS	Angrebsværdi +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Angrebsværdi +12~15%	SNA
TOOLTIP_MALL_AUTOLOOT	Automatisk samles alt Yang.	SNA
TOOLTIP_MALL_DEFBONUS	Forsvar +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Forsvar +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP-Bonus +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	50% mere EXP	SNA
TOOLTIP_MALL_FISH_MIND	Sandsynligheden at fange en fisk er øget	SNA
TOOLTIP_MALL_GOLDBONUS	Sandsynlighed for Yang (%.1f)	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Doppelt Yang-sandsynlighed	SNA
TOOLTIP_MALL_ITEMBONUS	Sandsynlighed for tab af genstande (%.1f)	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe sandsynlighed for at få genstande plus %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Doppelt tab af genstand-sandsynlighed	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Kærlighedspoints gendannes hurtigere.	SNA
TOOLTIP_MALL_SAFEBOX	Du har øget lastrummet i din kiste.	SNA
TOOLTIP_MAX_HP	Max. HP +%d	SA
TOOLTIP_MAX_HP_PCT	Max. HP +%d%%	SA
TOOLTIP_MAX_SP	Max. MP +%d	SA
TOOLTIP_MAX_SP_PCT	Max. MP +%d%%	SA
TOOLTIP_MAX_STAMINA	Max. udholdenhed +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Magisk/nærkamps angreb +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS-FEJL (%d, %d)
TOOLTIP_MOV_SPEED	Bevægelseshastighed %d%%	SA
TOOLTIP_NECK	Halskæde
TOOLTIP_NEED_ALL_SP	Kræver MP: Max.
TOOLTIP_NEED_GSP	Kræver drageånd: %d
TOOLTIP_NEED_HP	Kræver HP: %d
TOOLTIP_NEED_HP_PER_SEC	HP / Sek.: %d
TOOLTIP_NEED_SKILL_POINT	Kræver færdighedspoints:
TOOLTIP_NEED_SP	Kræver MP: %d
TOOLTIP_NEED_SP_PER_SEC	MP / Sek.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Næste Level: %d (Max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Næste Level: %d (Max. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Gennemsnitlig skade %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Gennemsnitlig skadesmodstand %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Flere end %d gruppemedlemmer
TOOLTIP_PARTY_INFO_GRADE_UP2	Angrebslevel +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Forsvarslevel +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	HP/MP fra alle gruppemedlemmer gendannes engang i 60 minutter.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	HP/MP fra alle gruppemedlemmer gendannes engang i 30 minutter.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Du bliver nød til at vente tre minutter efter gruppemedlemmets død.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Du kan til enhver tid påkalde gruppemedlemmer fra samme server.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Angrebslevel +(Antal af gruppemedlemmer/2) angriber %d kan vælges
TOOLTIP_PARTY_INFO_SET_TANKER	Forsvars level +(antallet af gruppemedlemmer) nærkæmpere 1 kan blive valgt.
TOOLTIP_PARTY_SKILL_LEVEL	Level: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Angreb/Forsvar blev forbedret]
TOOLTIP_PARTY_TITLE_HEAL	[Gendan]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Flere end %d gruppemedlemmer får bonus-EXP %d%%.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus-EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Kald på]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Definer angriber]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Indstil til nærkamp]
TOOLTIP_PICK_EXP	Points: %d / %d
TOOLTIP_PICK_LEVEL	Level: %d
TOOLTIP_PICK_UPGRADE1	Giv til brændehuggeren
TOOLTIP_PICK_UPGRADE2	for at få en bedre
TOOLTIP_PICK_UPGRADE3	Spidshakke.
TOOLTIP_POTION_CURE	Fjern negative effekter.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Angrebshastighed +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	HP +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	HP +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Bevægelseshastighed +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	MP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	MP +%d
TOOLTIP_POTION_SEC	Sek.
TOOLTIP_POTION_TIME	Længde:
TOOLTIP_REQUIREMENT_21_LEVEL	Du skal have opnået level 21.
TOOLTIP_REQUIREMENT_41_LEVEL	Du skal have opnået level 41.
TOOLTIP_REQUIREMENT_LEVEL	Du skal have opnået Level %d.
TOOLTIP_REQUIREMENT_SKILL_LEVEL	Kræver %s Level %d
TOOLTIP_REQUIREMENT_STAT_LEVEL	Kræver %s %d
TOOLTIP_RESIST_BOW	Pilemodstand %d%%	SA
TOOLTIP_RESIST_DARK	Forsvar mod mørke +%d%%	SA
TOOLTIP_RESIST_EARTH	Forsvar mod Jorden +%d%%	SA
TOOLTIP_RESIST_ELEC	Lynmodstand %d%%	SA
TOOLTIP_RESIST_FIRE	Ildmodstand %d%%	SA
TOOLTIP_RESIST_ICE	Forsvar mod is +%d%%	SA
TOOLTIP_RESIST_MAGIC	Magimodstand %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Til overs: %d
TOOLTIP_SEALED	Sjælebundet
TOOLTIP_SELLPRICE	Pris: %s
TOOLTIP_SHAMAN	Shaman
TOOLTIP_SHIELD	Skjold
TOOLTIP_SHOES	Sko
TOOLTIP_SKILL	Færdighed	SNA
TOOLTIP_SKILLBOOK_NAME	Færdighedsbog
