AFF_LOVE_POINT	Szerelem pont: %d%%
SHOP_NOT_ENOUGH_MONEY_EX	Nincs elegendõ Yangod.
SHOP_SELL_INFO	A leltár ablakodban válaszd ki az eladandó tárgyat.
SHOP_SOLDOUT	Elfogyott
SHOT_ERROR_UNKNOWN	Ismeretlen hiba a távolsági támadás során: %s
SKILL_BOHO	Visszaverés
SKILL_BUDONG	Nem használható többé
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	EXP-re van szükséged, hogy kitanuld ezt a képességet.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Könyvre van szükséged, hogy kitanuld ezt a készséget.
SKILL_CHEONGEUN	Erõs test
SKILL_CRITICAL	Kritikus találat
SKILL_ENCHANT_POISON	Méreg használat
SKILL_EUNHYEONG	Láthatatlan
SKILL_FAINT	Ájulás
SKILL_FIND_TRAP	Csapda keresés
SKILL_FIRE	Égetés
SKILL_FISHMIND	A Horgászgömb aktív
SKILL_GAMJI	Megfog
SKILL_GEOMGYEONG	Kard aurája
SKILL_GEONGON	SKILL_GEONGON Nem használható többé
SKILL_GICHEON	Sárkány segítsége
SKILL_GIGONG	Chi forgás	
SKILL_GONGPO	Félelem
SKILL_GRADE_NAME_GRAND_MASTER	%s nagymester
SKILL_GRADE_NAME_MASTER	%s mester
SKILL_GRADE_NAME_PERFECT_MASTER	%s tökéletes mester
SKILL_GROUP_ASSASSIN_1	Penge
SKILL_GROUP_ASSASSIN_2	Íj
SKILL_GROUP_HORSE	Lovaglás
SKILL_GROUP_SHAMAN_1	Sárkány
SKILL_GROUP_SHAMAN_2	Gyógyító
SKILL_GROUP_SURA_1	Fegyver
SKILL_GROUP_SURA_2	Mágia
SKILL_GROUP_WARRIOR_1	Test
SKILL_GROUP_WARRIOR_2	Mentális
SKILL_GWIGEOM	Elvarázsolt penge
SKILL_GYEONGGONG	Pehelykönnyû járás
SKILL_HEUKSIN	Sötét védelem
SKILL_HOSIN	Áldás
SKILL_HWAYEOM	SKILL_HWAYEOM Nincs többé használatban
SKILL_HYEOLMA	SKILL_HYEOLMA Nincs többé használatban
SKILL_INC_ATKSPD	Megnövelt támadósebesség
SKILL_INC_MOVSPD	Megnövelt mozgási sebesség
SKILL_INMA	SKILL_INMA Nincs többé használatban
SKILL_JEOJU	Átok
SKILL_JEONGEOP	Gyógyít
SKILL_JEONGWI	Harci mámor
SKILL_JEONSINBANGEO	Teljes védelem
SKILL_JEONSINGONGGYEOK	Totális támadás
SKILL_JEUNGCHE	SKILL_JEUNGCHE Nincs többé használatban
SKILL_JEUNGHON	SKILL_JEUNGHON Nincs többé használatban
SKILL_JEUNGRYEOK	Támadás +
SKILL_JEUNGSOK	Sebesség +
SKILL_JIGAM	SKILL_JIGAM Nincs többé használatban
SKILL_JIPJUNG	SKILL_JIPJUNG Nincs többé használatban
SKILL_JUMAGAP	Elvarázsolt felszerelés
SKILL_JUMAGEOM	SKILL_JUMAGEOM Nincs többé használatban
SKILL_KWAEGEOM	SKILL_KWAEGEOM Nincs többé használatban
SKILL_KWAESOK	Gyorsaság
SKILL_LEGBOUND	SKILL_LEGBOUND Nincs többé használatban
SKILL_MUSA	SKILL_MUSA Nincs többé használatban
SKILL_MUYEONG	Láng szelleme
SKILL_NEED_EMPTY_BOTTLE	Nincs üres üvegem.
SKILL_NEED_POISON_BOTTLE	Nincs méregüvegem.
SKILL_ONLY_FOR_GUILD_WAR	Ezt a készséget csak céhháborúban kamatoztathatod.
SKILL_PABEOP	Varázslat érvénytelenítés
SKILL_POWERFUL_STRIKE	Kábult támadás	
SKILL_SEOMGWANG	Villám bomba
SKILL_SINCHAK	SKILL_SINCHAK Nincs többé használatban
SKILL_SLEEP	Alvás
SKILL_SLOW	Lassan
SKILL_STUN	Elkábít
SKILL_SUHO	Õr
SKILL_SUMMON_DESCRIPTION	Felidézés esélye: %d%%
SKILL_TOOLTIP_INT	Intelligencia
SKILL_TOOLTIP_LEVEL	Szint
SKILL_TOXICDIE	Mérgezés
SKILL_TOXICPOWER	Méregtámadás fokozva
SKILL_TUSOK	Szellem ütés
SKILL_WONSIN	SKILL_WONSIN Nincs többé használatban
SKILL_YONGSIN	SKILL_YONGSIN Nincs többé használatban
STAT_MINUS_CON	Életerõ beállítás (maradék esély: %d)
STAT_MINUS_DEX	Ügyesség kiigazítás (Maradék esély: %d)
STAT_MINUS_INT	Intelligencia beállítás (maradék esély: %d)
STAT_MINUS_STR	Erõ beállítás (maradék esély: %d)
STAT_TOOLTIP_CON	Növekszik a TP és a védelem
STAT_TOOLTIP_DEX	Növekszik a támadás és a kitérés
STAT_TOOLTIP_INT	Növekszik a MP valamint a mágikus támadás és védekezés
STAT_TOOLTIP_STR	Növekszik a támadóérték és a sérülés
SYMBOLLIST_TITLE	Céh zászló bejelentés
SYSTEM_OPTION_CPU_TILING_1	CPU-tiling módban a gyengébb PC sebessége fokozható.
SYSTEM_OPTION_CPU_TILING_2	Grafikai problémák esetén válaszd a 'Rendszer tulajdonságokat' vagy a CONFIG.exe-t.
SYSTEM_OPTION_CPU_TILING_3	és válts GPU-tiling módra.
SYSTEM_OPTION_GPU_TILING_1	A GPU-tiling mód egy gyengébb PC-n lassan futhat
SYSTEM_OPTION_GPU_TILING_2	Grafikai problémák esetén válaszd a 'Rendszer tulajdonságokat' vagy a 'CONFIG.exe'-t.
SYSTEM_OPTION_GPU_TILING_3	és válts CPU-tiling módra.
SYSTEM_OPTION_TILING_EXIT	Mozaik módra váltáshoz újra kell indítani a játékot.
TARGET_BUTTON_ACCEPT_FIGHT	Egyetért
TARGET_BUTTON_AVENGE	Bosszú
TARGET_BUTTON_BUILDING_DESTROY	Elpusztít
TARGET_BUTTON_DISMOUNT	Leszáll
TARGET_BUTTON_EMOTION_ALLOW	Érzelmek
TARGET_BUTTON_EXCHANGE	Kereskedés
TARGET_BUTTON_EXCLUDE	Kizár
TARGET_BUTTON_EXIT_OBSERVER	Megfigyelõ mód vége
TARGET_BUTTON_FIGHT	Párbaj
TARGET_BUTTON_FRIEND	Barát
TARGET_BUTTON_INVITE_GUILD	Céh meghívás
TARGET_BUTTON_INVITE_PARTY	Csoport meghívás
TARGET_BUTTON_LEAVE_PARTY	Csoport elhagyása
TARGET_BUTTON_REQUEST_ENTER_PARTY	Belépés a csoportba
TARGET_BUTTON_VIEW_EQUIPMENT	Felszerelés
TARGET_BUTTON_WHISPER	Suttogni
TARGET_LEVEL_BOSS	Fõnök
TARGET_LEVEL_KING	5. szint
TARGET_LEVEL_KNIGHT	3. szint
TARGET_LEVEL_PAWN	1. szint
TARGET_LEVEL_S_KNIGHT	4. szint
TARGET_LEVEL_S_PAWN	2. szint
TASKBAR_ATTACK	Támadni
TASKBAR_AUTO	Automatikus támadás
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Tapasztalat
TASKBAR_HP	TP
TASKBAR_MOVE	Mozogni
TASKBAR_SKILL	Készség
TASKBAR_SP	MP
TASKBAR_ST	KP
THING_COUNT	minden
TOOLTIP_ANTI_CRITICAL_PCT	Kritikus csapás elleni ellenállás +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Átütõ csapás elleni ellenállás +%d%%	SA
TOOLTIP_ANTI_SELL	Nem lehet eladni a boltban.
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Állatok elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Nindzsák elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Ördögök elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Félemberek elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Ezoterikusok elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Szörnyek elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Orkok elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Sámánok elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Surák elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Élõholtak elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Harcosok elleni erõ +%d%%	SA
TOOLTIP_APPLY_BLOCK	Esély a közelharci támadás kivédésére %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	MP-t a háborúban 5 másodpercenként visszaállít %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Esély kritikus találatra +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% esély, hogy az MP-t találatnál megtartsd	SA
TOOLTIP_APPLY_DODGE	Esély a nyilak elkerülésére %d%%	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% esély EXP bónuszra	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% esély dupla mennyiségû Yang eldobására	SA
TOOLTIP_APPLY_IMMUNE_FALL	Immunis a leesésre	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Immunis a lelassulás ellen.	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Immunis az ájulás ellen	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% esély, dupla mennyiségû tárgy eldobására	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% esély, TP visszaállítására	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% esély, MP visszaállítására	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% esély Mp rablásra	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. TP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. MP +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Nincs hatás
TOOLTIP_APPLY_NO_DEATH_PENALTY	Nem vész el tapasztalat pont ha a karakter újjáéled a holttesténél.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% esély, átható találatra	SA
TOOLTIP_APPLY_POISON_PCT	Mérgezés esélye %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Méreg ellenállás %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Ital %d%% hatásnövekedés	SA
TOOLTIP_APPLY_REFLECT_CURSE	%d%% esély, az átok visszaverésére	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% esély a közelharci támadás visszaverésére	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Védelmi esély nindzsatámadás ellen %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Harang védelem %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Tõr védekezés %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Legyezõ védekezés %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Védekezési esély sámántámadás ellen %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Védekezési esély Sura támadás ellen %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Kard védelem %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Kétkezes védelem %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Védekezési esély harcos támadás ellen %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Szél ellenállás %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Könyvbõl tanulás esélyének növelése 2,5-szeresére 	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Ha sikertelen a tanulás, azonnal újra próbálhatod szabadon.	SNA
TOOLTIP_APPLY_SLOW_PCT	Lassítás esélye %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% veszteség eltûnik a TP-bõl.	SA
TOOLTIP_APPLY_STEAL_SP	%d%% veszteség eltûnik az MP-bõl.	SA
TOOLTIP_APPLY_STUN_PCT	Ájulás esélye %d%%	SA
TOOLTIP_ARMOR	Felszerelés
TOOLTIP_ARROW	Nyíl
TOOLTIP_ASSASSIN	Nindzsa
TOOLTIP_ATT_GRADE	Támadó érték +%d	SA
TOOLTIP_ATT_SPEED	Támadósebesség +%d%%	SA
TOOLTIP_AUTO_POTION_HP	Nap Elixír
TOOLTIP_AUTO_POTION_REST	Maradék: %.2f%%
TOOLTIP_AUTO_POTION_SP	Hold Elixír
TOOLTIP_AUTO_POTION_USING	Aktív
TOOLTIP_BOW_DISTANCE	Íjjász hatótávolság +%dm	SA
TOOLTIP_BUYPRICE	Ár: %s
TOOLTIP_CAST_SPEED	Varázssebesség +%d%%	SA
TOOLTIP_CON	Életerõ +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Jelmez bónusz %d%%	SA
TOOLTIP_DEF_GRADE	Védekezés +%d	SA
TOOLTIP_DEX	Ügyesség +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Föld	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Ég	SNA
TOOLTIP_EAR	Fülbevaló
TOOLTIP_ENERGY	Energia %d	SA
TOOLTIP_ETC	Stb.
TOOLTIP_FISHINGROD_EXP	Pont: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Szint: %d
TOOLTIP_FISHINGROD_UPGRADE1	Add a halásznak,
TOOLTIP_FISHINGROD_UPGRADE2	hogy egy jobb
TOOLTIP_FISHINGROD_UPGRADE3	horgászbotot adjon.
TOOLTIP_FISH_LEN	Hossz: %.2fcm
TOOLTIP_HELMET	Sisak
TOOLTIP_HP_REGEN	TP regenerálódás +%d%%	SA
TOOLTIP_INT	Intelligencia +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Támadó érték %d
TOOLTIP_ITEM_ATT_POWER	Támadó érték %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Támadó érték %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Támadó érték %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Támadósebesség %s
TOOLTIP_ITEM_DEF_GRADE	Védelem %d
TOOLTIP_ITEM_FAST	Gyors
TOOLTIP_ITEM_LIMIT_CON	Életerõ felsõ határ: %d
TOOLTIP_ITEM_LIMIT_DEX	Ügyesség felsõ határ: %d
TOOLTIP_ITEM_LIMIT_INT	Intelligencia felsõ határ: %d
TOOLTIP_ITEM_LIMIT_LEVEL	%d. szinttõl
TOOLTIP_ITEM_LIMIT_STR	Erõ felsõ határ: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Mágikus támadó érték %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Mágikus támadó érték %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Mágikus védelem %d
TOOLTIP_ITEM_NORMAL	Normál
TOOLTIP_ITEM_SLOW	Lassú
TOOLTIP_ITEM_VERY_FAST	Nagyon gyors
TOOLTIP_ITEM_VERY_SLOW	Nagyon lassú
TOOLTIP_ITEM_WEARABLE_JOB	[ Felszerelhetõ ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Szerencseszám: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Mágikus támadás +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Mágikus támadó érték +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Mágikus védelem +%d	SA
TOOLTIP_MALL_ATTBONUS	Támadó érték +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Támadó érték +12~15%	SNA
TOOLTIP_MALL_AUTOLOOT	Automatikusan felszedi a Yangokat.	SNA
TOOLTIP_MALL_DEFBONUS	Védekezés +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Védekezés +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP-Bónusz +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	50%-kal több EXP	SNA
TOOLTIP_MALL_FISH_MIND	A halfogás esélye megnõtt.	SNA
TOOLTIP_MALL_GOLDBONUS	Yang eldobási esély (%.1f)	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Dupla Yang eldobási esély	SNA
TOOLTIP_MALL_ITEMBONUS	Tárgy ledobási esély (%.1f)	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe tárgy zsákmányolási esély plusz %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Dupla tárgy eldobási esély	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Gyorsabban nõnek az életpontok.	SNA
TOOLTIP_MALL_SAFEBOX	Nagyobb raktártér áll rendelkezésre.	SNA
TOOLTIP_MAX_HP	Max. TP +%d	SA
TOOLTIP_MAX_HP_PCT	Max. TP +%d%%	SA
TOOLTIP_MAX_SP	Max. MP +%d	SA
TOOLTIP_MAX_SP_PCT	Max. MP +%d%%	SA
TOOLTIP_MAX_STAMINA	Max. Kitartás +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Mágikus/közelharci támadás +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS HIBA(%d, %d)
TOOLTIP_MOV_SPEED	Mozgási sebesség %d%%	SA
TOOLTIP_NECK	Nyaklánc
TOOLTIP_NEED_ALL_SP	Szükséges MP: Max.
TOOLTIP_NEED_GSP	Szükslges sárkány szellem: %d
TOOLTIP_NEED_HP	Szükséges TP: %d
TOOLTIP_NEED_HP_PER_SEC	TP / mp. : %d
TOOLTIP_NEED_SKILL_POINT	Szükséges készség pont:
TOOLTIP_NEED_SP	Szükséges MP: %d
TOOLTIP_NEED_SP_PER_SEC	MP / mp.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Következõ szint: %d (Max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Következõ szint: %d (Max. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Átlagos károk %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Átlagos veszteség ellenállás %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Több, mint %d csoporttag
TOOLTIP_PARTY_INFO_GRADE_UP2	Támadási szint +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Védelmi szint +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Minden csoporttag TP/MP helyreállítása egyszer 60 percen belül.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Minden csoporttag TP/MP helyreállítása 30 percen belül egyszer.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	3 percet kell várnod a csoporttag halála után.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Bármikor hívhatsz ugyanarról a szerverrõl csoporttagokat.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Támadó szint +(csoporttagok száma/2) támadót %d lehet kiválasztani.
TOOLTIP_PARTY_INFO_SET_TANKER	Védelmi szint +(csoporttagok száma) 1 tõrharcost lehet választani.
TOOLTIP_PARTY_SKILL_LEVEL	Aktuális szint: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Támadás/Védekezés javul]
TOOLTIP_PARTY_TITLE_HEAL	[Újrateremt]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Több, mint %d csoporttag esetén %d%% EXP bónusz jár.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[EXP bónusz]
TOOLTIP_PARTY_TITLE_RECALL	[Idehív]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Támadó kinevezés]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Tõrharcos Beállítás]
TOOLTIP_PICK_EXP	Pont: %d / %d
TOOLTIP_PICK_LEVEL	Szint: %d
TOOLTIP_PICK_UPGRADE1	Add a favágónak,
TOOLTIP_PICK_UPGRADE2	hogy egy jobb
TOOLTIP_PICK_UPGRADE3	csákányt adjon.
TOOLTIP_POTION_CURE	Negatív hatások visszaállítása.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Támadó sebesség +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	TP +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	TP +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Mozgási sebesség +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	MP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	MP +%d
TOOLTIP_POTION_SEC	mp.
TOOLTIP_POTION_TIME	Idõtartama:
TOOLTIP_REQUIREMENT_21_LEVEL	21-es szintet el kell érned
TOOLTIP_REQUIREMENT_41_LEVEL	41-es szintet el kell érned
TOOLTIP_REQUIREMENT_LEVEL	%d. szintet el kell érned
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s szint %d szükséges
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d szükséges
TOOLTIP_RESIST_BOW	Nyíl ellenállás %d%%	SA
TOOLTIP_RESIST_DARK	Sötétséggel szembeni ellenállás +%d%%	SA
TOOLTIP_RESIST_EARTH	Föld ellenállás +%d%%	SA
TOOLTIP_RESIST_ELEC	Villám ellenállás %d%%	SA
TOOLTIP_RESIST_FIRE	Tûz ellenállás %d%%	SA
TOOLTIP_RESIST_ICE	Jég-ellenállás +%d%%	SA
TOOLTIP_RESIST_MAGIC	Mágia ellenállás %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Maradék: %d
TOOLTIP_SEALED	
TOOLTIP_SELLPRICE	Ár: %s
TOOLTIP_SHAMAN	Sámán
TOOLTIP_SHIELD	Vért
TOOLTIP_SHOES	Cipõ
TOOLTIP_SKILL	Készség	SNA
TOOLTIP_SKILLBOOK_NAME	Készségkönyv
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Támadó érték: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Támadó érték:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Támadósebesség: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Védelem:
TOOLTIP_SKILL_AFFECT_DODGE	Ellenséges támadó érték: -
TOOLTIP_SKILL_AFFECT_HEAL	TP helyreállítás:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Mozgási sebesség: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Esély a közelharci támadás visszaverésére:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Testi sérülések elleni ellenállás:
TOOLTIP_SKILL_COOL_TIME	Újratöltés: 
TOOLTIP_SKILL_DAMAGE_BONUS	Készség károk %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Készség károkkal szembeni ellenállás %d%%	SA
TOOLTIP_SKILL_DURATION	Idõtartama: %d mp.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Feledés szalagja
TOOLTIP_SKILL_LEVEL	Aktuális szint: %d
TOOLTIP_SKILL_LEVEL_MASTER	Aktuális szint: %d (mester)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Aktuális szint: %d (max. %d)
TOOLTIP_SOCKET_EMPTY	Üres
TOOLTIP_SOCKET_REFINABLE_ITEM	[Tárgy foglalattal]
TOOLTIP_SP_REGEN	MP-Regenerálódás +%d%%	SA
TOOLTIP_STR	Erõ +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Feltöltési idõ %d sec.	SA
TOOLTIP_TIME_CHARGER_PER	Feltöltési idõ %d%%	SA
TOOLTIP_UNIQUE	Egyedüli
TOOLTIP_UNSEAL_LEFT_TIME	
TOOLTIP_WARRIOR	Harcos
TOOLTIP_WEAPON	Fegyver
TOOLTIP_WRISTLET	Csuklópánt
UI_ACCEPT	Elfogad
UI_CANCEL	Megszakít
UI_CLOSE	Bezár
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Elutasít
UI_ITEM	Tárgy
UI_LEFT_TIME	Maradék idõ: %d mp.
UI_NEXT	Tovább
UI_NEXTPAGE	Következõ
UI_NOCONTENTS	Nincs tartalom
UI_NONAME	Nincs név
UI_OK	OK
UI_POS_UNKNOWN	Ismeretlen hely
UI_PREVPAGE	Vissza
UI_UNKNOWN	Ismeretlen
UPLOAD_MARK_CHECK_NEED_RECONNECT	A feltöltést még egyszer el kell indítani
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	A feltöltést még egyszer el kell indítani
USE_ITEM_FAILURE_PRIVATE_SHOP	Nem használhatsz tárgyakat, amíg nyitva van a privát boltod.
USE_SKILL_ERROR_UNKNOWN	Ismeretlen készség hiba: %s
TARGET_INFO_DAMAGE	Damage : %s - %s
TARGET_INFO_DEFENSE	Defence : %s
TARGET_INFO_EXP	Expierence : %s
TARGET_INFO_MAINRACE	Race : %s
TARGET_INFO_MAX_HP	Max. HP : %s
TARGET_INFO_NO_ITEM_TEXT	No Items droppable.
TARGET_INFO_NO_RACE	None
TARGET_INFO_RACE_METIN	Stone
TARGET_INFO_RACE_ANIMAL	Animal
TARGET_INFO_RACE_DARK	Darkness
TARGET_INFO_RACE_DEVIL	Devil
TARGET_INFO_RACE_EARTH	Earth
TARGET_INFO_RACE_ELEC	Lightning 
TARGET_INFO_RACE_FIRE	Fire
TARGET_INFO_RACE_HUMAN	Half Human
TARGET_INFO_RACE_ICE	Ice
TARGET_INFO_RACE_MILGYO	Mystic 
TARGET_INFO_RACE_ORC	Orcs
TARGET_INFO_RACE_UNDEAD	Undead
TARGET_INFO_RACE_WIND	Wind
TARGET_INFO_STONE_NAME	Ghoststone
TARGET_INFO_SUBRACE	Subspecies : %s
KEEP_OPEN	Ablak nyitvatartása
MOVE_CHANNEL_99	CH99
MOVE_CHANNEL_CANCEL	Bezár
MOVE_CHANNEL_NOTICE	Ezen a csatornán vagy:  %d.
MOVE_CHANNEL_NOT_MOVE	Nem válthatsz csatornát.
MOVE_CHANNEL_SELECT	Ok
MOVE_CHANNEL_TITLE	Csatornák
AFFECTSHOWER_REMOVE_TEXT	|Eemoji/key_lclick|e - Törléshez kattints
AFFECT_REMOVE_QUESTION	Elvtábolítod az effektet %s?
POLYMORPH_AFFECT_TOOLTIP	Polymorph Marble	SNA
YENILE_BUTTON_TITLE	Inventory Sorting:
YENILE_BUTTON	|Eemoji/key_lclick|e - Name
YENILE_BUTTON2	|Eemoji/key_ctrl|e + |Eemoji/key_lclick|e - Level
YENILE_BUTTON3	|Eemoji/key_alt|e + |Eemoji/key_lclick|e - Custom Sort
