AFF_LOVE_POINT	Body za lásku: %d%%
TOOLTIP_POTION_MIN	min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Rychlost útoku: +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	ZB: +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	ZB: +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Rychlost pohybu: +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	MB: +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	MB: +%d
TOOLTIP_POTION_SEC	sek.
TOOLTIP_POTION_TIME	Doba:
TOOLTIP_REQUIREMENT_21_LEVEL	Musíš nejdøív dosáhnout úrovnì 21
TOOLTIP_REQUIREMENT_41_LEVEL	Musíš nejdøív dosáhnout úrovnì 41
TOOLTIP_REQUIREMENT_LEVEL	Musíš nejdøív dosáhnout úrovnì %d
TOOLTIP_REQUIREMENT_SKILL_LEVEL	Je zapotøebí %s úroveò %d
TOOLTIP_REQUIREMENT_STAT_LEVEL	Je zapotøebí %s %d
TOOLTIP_RESIST_BOW	Odolnost proti šípùm %d%%	SA
TOOLTIP_RESIST_DARK	Odolnost vùèi temnotì +%d%% 	SA
TOOLTIP_RESIST_EARTH	Odolnost Zemi +%d%% 	SA
TOOLTIP_RESIST_ELEC	Odolnost proti blesku %d%%	SA
TOOLTIP_RESIST_FIRE	Odolnost proti ohni %d%%	SA
TOOLTIP_RESIST_ICE	Odolnost ledu +%d%% 	SA
TOOLTIP_RESIST_MAGIC	Odolnost proti magii %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Zbıvá: %d
TOOLTIP_SEALED	Duševní pouto
TOOLTIP_SELLPRICE	Cena: %s
TOOLTIP_SHAMAN	Šaman
TOOLTIP_SHIELD	Štít
TOOLTIP_SHOES	Boty
TOOLTIP_SKILL	Schopnost	SNA
TOOLTIP_SKILLBOOK_NAME	Kniha schopností
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Hodnota útoku: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Hodnota útoku:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Rychlost útoku: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Obrana:
TOOLTIP_SKILL_AFFECT_DODGE	Soupeøova hodnota útoku:
TOOLTIP_SKILL_AFFECT_HEAL	Obnovit ZB:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Rychlost pohybu: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Šance odrazit tìlesnı útok:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Odolnost proti tìlesné újmì:
TOOLTIP_SKILL_COOL_TIME	Doba nabíjení:
TOOLTIP_SKILL_DAMAGE_BONUS	Poškození schopností: %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Odolnost proti poškození schopností %d%%	SA
TOOLTIP_SKILL_DURATION	Doba: %d sek.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Kniha zapomnìní
TOOLTIP_SKILL_LEVEL	Aktuální úroveò: %d
TOOLTIP_SKILL_LEVEL_MASTER	Aktuální úroveò: %d (mistr)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Aktuální úroveò: %d (max. %d)
TOOLTIP_SOCKET_EMPTY	Prázdnı
TOOLTIP_SOCKET_REFINABLE_ITEM	[Pøedmìt s úchytem]
TOOLTIP_SP_REGEN	Obnovení MB +%d%%	SA
TOOLTIP_STR	Síla +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Èas nabíjení %d vteøin. 	SA
TOOLTIP_TIME_CHARGER_PER	Èas nabíjení %d%%	SA
TOOLTIP_UNIQUE	Jedineènı
TOOLTIP_UNSEAL_LEFT_TIME	Zrušení duševního pouta za: %dH %dM
TOOLTIP_WARRIOR	Váleèník
TOOLTIP_WEAPON	Zbraò
TOOLTIP_WRISTLET	Náramek
UI_ACCEPT	Pøijmout
UI_CANCEL	Zrušit
UI_CLOSE	Zavøít
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Odmítnout
UI_ITEM	Pøedmìt
UI_LEFT_TIME	Zbıvající èas: %d sek.
UI_NEXT	Dále
UI_NEXTPAGE	Další
UI_NOCONTENTS	Bez obsahu
UI_NONAME	Chybí jméno	
UI_OK	OK
UI_POS_UNKNOWN	Neznámé místo
UI_PREVPAGE	zpìt
UI_UNKNOWN	Neznámı
UPLOAD_MARK_CHECK_NEED_RECONNECT	Upload musí bıt proveden ještì jednou
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Upload musí bıt proveden ještì jednou
USE_ITEM_FAILURE_PRIVATE_SHOP	Pokud jsi otevøel soukromı stánek, nemùeš pouít tento pøedmìt.
USE_SKILL_ERROR_UNKNOWN	Neznámá chyba v schopnostech: %s
