AFF_LOVE_POINT	Punto amore: %d%%
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Tutti i membri del gruppo ricievono gli stessi EXP.
PARTY_HEAL_ALL_MEMBER	Rigenerare tutto
PARTY_INCREASE_AREA_150	Raggio d'azione del gruppo alzato di fattore 1,5.	SNA
PARTY_INCREASE_AREA_200	Raggio d'azione del gruppo alzato di fattore 2.	SNA
PARTY_LEAVE	Abbandona il gruppo.
PARTY_LONGTIME_BONUS_EXP	EXP bonus per un gioco di gruppo lungo: +%d%%	SA
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Chiamare a sè un membro del gruppo.
PARTY_REGEN_BONUS	Bonus per HP + Rigenerazione MP: +%d%%	SA
PARTY_REQUEST_DENIED	La tua richiesta è stata rifiutata.
PARTY_SET_ATTACKER	Annotare come aggressore.
PARTY_SET_BERSERKER	Annotare come feroce.
PARTY_SET_BUFFER	Annotare come bloccatore.
PARTY_SET_DEFENDER	Annotare come difensore.
PARTY_SET_NORMAL	Annullare le impostazioni.
PARTY_SET_SKILL_MASTER	Annotare come maestro delle abilità.
PARTY_SET_TANKER	Annotare come lottatore corpo a corpo.
PARTY_SKILL_ATTACKER	Valore d'attacco base aggressore  +%.0f
PARTY_SKILL_BERSERKER	Velocità d'attacco feroce +%.0f
PARTY_SKILL_BUFFER	Durata dell'abilità bloccatore +%.0f
PARTY_SKILL_DEFENDER	Difesa difensore +%.0f
PARTY_SKILL_HP_REGEN	Rigenerazione HP +%.0f%%
PARTY_SKILL_PARTY_AREA	Raggio d'azione del gruppo +%d%%
PARTY_SKILL_SKILL_MASTER	Max. MP maestro delle abilità +%.0f
PARTY_SKILL_SP_REGEN	Rigenerazione MP +%.0f%%
PARTY_SKILL_TANKER	Max. HP lottatore corpo a corpo +%.0f
PARTY_SKILL_WARP	Capacità di chiamare a sè i membri del gruppo.
PASSWORD_TITLE	Password Magazzino
PICK_ITEM_TITLE	Numero dell'oggetto
PICK_MONEY_TITLE	Prezzo
PRIVATE_SHOP_CANNOT_SELL_ITEM	Non puoi vendere questo oggetto in un neegozio privato.
PRIVATE_SHOP_CLOSE_QUESTION	Desideri chiudere il negozio privato?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Nome del negozio privato
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Prezzo
PVP_LEVEL0	Cavaliere
PVP_LEVEL1	Nobile
PVP_LEVEL2	Buono
PVP_LEVEL3	Gentile
PVP_LEVEL4	Neutrale
PVP_LEVEL5	Aggressivo
PVP_LEVEL6	Perfido
PVP_LEVEL7	Maligno
PVP_LEVEL8	Crudele
PVP_MODE_GUILD	La Gilda PvP è stata attivata.
PVP_MODE_KILL	PvP - Libero attivato.
PVP_MODE_NORMAL	PvP - Pace attivato.
PVP_MODE_PROTECT	PvP - Protezione attivato.
PVP_MODE_REVENGE	PvP - Nemico attivato.
PVP_OPTION_KILL	Libero
PVP_OPTION_NORMAL	Pace
PVP_OPTION_PROTECT	Protezione
PVP_OPTION_REVENGE	Nemico
QUEST_APPEND	È stata formulata una nuova missione.
QUEST_MIN	Min.
QUEST_SEC	Sec.
QUEST_TIMEOVER	Tempo scaduto
QUEST_UNLIMITED_TIME	Non c'è limite di tempo
QUEST_ZEROSEC	0 Sec.
QUICKSLOT_REGISTER_DISABLE_ITEM	Questo oggetto non può essere inserito nei campi di utilizzo rapido.
RECEIVE_MESSAGE	%s ti ha mandato un messaggio.
REFINE_COST	Costo del miglioramento: %d Yang
REFINE_DESTROY_WARNING	L'oggetto potrebbe essere distrutto durante il miglioramento.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Questo aumenta la possibilità di successo del miglioramento,
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	ma in caso di fallimento l'oggetto sarà distrutto. Desideri continuare?
REFINE_DOWN_GRADE_WARNING	L'oggetto durante il miglioramento potrebbe peggiorare.
REFINE_DO_YOU_SEPARATE_METIN	Desideri rimuovere tutte le Pietre Spirituali?
REFINE_FAILURE	Hai fallito.
REFINE_FAILURE_CAN_NOT_ATTACH	%s questo oggetto non può essere inserito.
REFINE_FAILURE_EQUIP_ITEM	Non puoi migliorare gli oggetti in uso.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Nessuna Pietra Spirituale può essere tolta.
REFINE_FAILURE_NEED_BETTER_SCROLL	Ti serve un migliore papiro del miglioramento .
REFINE_FAILURE_NO_GOLD_SOCKET	Non hai nessuna montatura d'oro per inserire %s.
REFINE_FAILURE_NO_MORE_SOCKET	Non puoi creare altre montature.
REFINE_FAILURE_NO_SOCKET0	Non hai nessuna montatura per inserire %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Su questo oggetto non può essere creata una montatura.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Questo oggetto non può essere migliorato.
REFINE_SUCCESS	Il miglioramento è riuscito con successo.
REFINE_SUCCESS_PROBALITY	Possibilità di successo: %d%%
REFINE_WARNING2	Desideri continuare?
SAFEBOX_ERROR	Hai inserito la password sbagliata.
SAFEBOX_SELL_DISABLE_SAFEITEM	Non puoi vendere gli oggetti salvati.
SAFEBOX_WRONG_PASSWORD	Le password devono essere identiche.
SCREENSHOT_SAVE1	È salvato in
SCREENSHOT_SAVE2	Cartella degli Screenshot
SCREENSHOT_SAVE_FAILURE	Salvataggio dello screenshot fallito.
SECOND	Sec
SELECT_CAN_NOT_DELETE	Non puoi cancellare il personaggio.
SELECT_CHANGED_NAME	Hai modificato il nome del personaggio.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Il nome del personaggio esiste già.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Riprovaci.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Questo nome del personaggio è errato
SELECT_CHANGE_NAME_TITLE	Modifica il nome del personaggio
SELECT_DELEING	Il personaggio sta per essere cancellato.
SELECT_DELETED	Cancellato con successo
SELECT_DO_YOU_DELETE_REALLY	Desideri continuare?
SELECT_EMPTY_SLOT	Questo è un campo vuoto
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Inserisci un nuovo nome del personaggio.
SELECT_NOT_JOIN_GUILD	Nessuna Gilda
SHOP_BUY_INFO	Scegli dalla vetrina l'oggetto che vorresti acquistare.
SHOP_CANNOT_SELL_EQUIPMENT	Non puoi vendere degli oggetti in uso.
SHOP_CANNOT_SELL_ITEM	Questto oggetto non è in vendita
SHOP_ERROR_UNKNOWN	Errore di caricamento sconosciuto: %s
SHOP_INVALID_POS	Questo oggetto non è adatto.
SHOP_INVENTORY_FULL	Nel magazzino non c'è più posto.
SHOP_NOT_ENOUGH_MONEY	Non hai abbastanza Yang
SHOP_NOT_ENOUGH_MONEY_EX	Non hai Yang a sufficienza.
SHOP_SELL_INFO	Scegli dal tuo inventario l'oggetto che vuoi vendere.
SHOP_SOLDOUT	Esaurito
SHOT_ERROR_UNKNOWN	Errore sconosciuto nell'attacco a distanza: %s
SKILL_BLEEDING	Emorragia
SKILL_BOHO	Riflettere
SKILL_BUDONG	Non è più utilizzato.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Ti serve EXP per imparare questa abilità.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Ti serve un libro per imparare questa abilità.
SKILL_CHEONGEUN	Corpo forte
SKILL_CRITICAL	Colpo critico
SKILL_ENCHANT_POISON	Applica il veleno
SKILL_EUNHYEONG	Camuffamento
SKILL_FAINT	Svenimento
SKILL_FIND_TRAP	Cerca trappola
SKILL_FIRE	Fuoco duraturo
SKILL_FISHMIND	La palla di pesce è usata.
SKILL_GAMJI	Mirare
SKILL_GEOMGYEONG	Aura della spada
SKILL_GEONGON	SKILL_GEONGON Non è più usato
SKILL_GICHEON	Aiuto del drago
SKILL_GIGONG	Rotazione Chi
SKILL_GONGPO	Terrore
SKILL_GRADE_NAME_GRAND_MASTER	%s Gran Maestro
SKILL_GRADE_NAME_MASTER	%s Maestro
SKILL_GRADE_NAME_PERFECT_MASTER	%s Maestro Perfetto
SKILL_GROUP_ASSASSIN_1	Lama
SKILL_GROUP_ASSASSIN_2	Arco
SKILL_GROUP_HORSE	Equitazione
SKILL_GROUP_SHAMAN_1	Drago
SKILL_GROUP_SHAMAN_2	Guarigione
SKILL_GROUP_SURA_1	Armi
SKILL_GROUP_SURA_2	Magia
SKILL_GROUP_WARRIOR_1	Corpo
SKILL_GROUP_WARRIOR_2	Mentale
SKILL_GWIGEOM	Lama incantata
SKILL_GYEONGGONG	Passo piumato
SKILL_HEUKSIN	Protezione oscura
SKILL_HOSIN	Benedizione
SKILL_HWAYEOM	SKILL_HWAYEOM Non è più usato
SKILL_HYEOLMA	SKILL_HYEOLMA Non è più usato
SKILL_INC_ATKSPD	Velocità di attacco aumentata
SKILL_INC_MOVSPD	Velocità di movimento aumentata
SKILL_INMA	SKILL_INMA Non è più usato
SKILL_JEOJU	Maledizione
SKILL_JEONGEOP	Guarire
SKILL_JEONGWI	Estasi da combattimento
SKILL_JEONSINBANGEO	Difesa piena
SKILL_JEONSINGONGGYEOK	Attacco pieno
SKILL_JEUNGCHE	SKILL_JEUNGCHE Non è più usato
SKILL_JEUNGHON	SKILL_JEUNGHON Non è più usato
SKILL_JEUNGRYEOK	Attacco +
SKILL_JEUNGSOK	Vlocità +
SKILL_JIGAM	SKILL_JIGAM Non è più usato
SKILL_JIPJUNG	SKILL_JIPJUNG Non è più usato
SKILL_JUMAGAP	Armatura incantata
SKILL_JUMAGEOM	SKILL_JUMAGEOM Non è più usato
SKILL_KWAEGEOM	SKILL_KWAEGEOM Non è più usato
SKILL_KWAESOK	Velocità
SKILL_LEGBOUND	SKILL_LEGBOUND Non è più usato
SKILL_MUSA	SKILL_MUSA Non è più usato
SKILL_MUYEONG	Spirito della fiamma
SKILL_NEED_EMPTY_BOTTLE	Non ho altre bottiglie vuote.
SKILL_NEED_POISON_BOTTLE	Non ho bottiglie di veleno.
SKILL_ONLY_FOR_GUILD_WAR	Puoi usare questa abilità solo nella guerra tra Gilde.
SKILL_PABEOP	Togli incantesimo
SKILL_POWERFUL_STRIKE	Attacco anestetizzante
SKILL_SEOMGWANG	Bomba lampo
SKILL_SINCHAK	SKILL_SINCHAK Non è più usato
SKILL_SLEEP	Sonno
SKILL_SLOW	Lento
SKILL_STUN	Anestetizzare
SKILL_SUHO	Guardiano
SKILL_SUMMON_DESCRIPTION	Possibilità di evocazione: %d%%
SKILL_TOOLTIP_INT	Intelligenza
SKILL_TOOLTIP_LEVEL	Livello
SKILL_TOXICDIE	Avvelenamento
SKILL_TOXICPOWER	Valore di avvelenamento migliorato
SKILL_TUSOK	Colpo dello spirito
SKILL_WONSIN	SKILL_WONSIN Non è più usato
SKILL_YONGSIN	SKILL_YONGSIN Non è più usato
STAT_MINUS_CON	Adattamento della vitalità (Possibilità rimaste: %d)
STAT_MINUS_DEX	Adattamento della destrezza (Possibilità rimaste: %d)
STAT_MINUS_INT	Adattamento dell'intelligenza (Possibilità rimaste: %d)
STAT_MINUS_STR	Adattamento della forza (Possibilità rimaste: %d)
STAT_TOOLTIP_CON	HP e Difesa aumentati
STAT_TOOLTIP_DEX	Precisione e Fuga aumentati
STAT_TOOLTIP_INT	MP e Difesa-Attacco magici aumentati
STAT_TOOLTIP_STR	Valori Attacco e Danno migliorati
SYMBOLLIST_TITLE	Registrare la bandiera della Gilda
SYSTEM_OPTION_CPU_TILING_1	La modalità CPU Tiling può migliorare la velocità di un PC lento.
SYSTEM_OPTION_CPU_TILING_2	Se si dovessero verificare problemi con la grafica, scegli ,Opzioni di sistema‘ o ,CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	ed usa così il GPU-Tiling-Modus
SYSTEM_OPTION_GPU_TILING_1	La modalità GPU Tiling potrebbe andare più lentamente su un PC vecchio
SYSTEM_OPTION_GPU_TILING_2	Se si verificano dei problemi con la grafica scegli "Opzioni di Sistema" o "CONFIG.exe"
SYSTEM_OPTION_GPU_TILING_3	e cambia in modalità CPU Tiling
SYSTEM_OPTION_TILING_EXIT	Per cambiare la modalità Tiling devi riavviare il gioco.
TARGET_BUTTON_ACCEPT_FIGHT	Accetta
TARGET_BUTTON_AVENGE	Vendetta
TARGET_BUTTON_BUILDING_DESTROY	Distruggi
TARGET_BUTTON_DISMOUNT	Scendi
TARGET_BUTTON_EMOTION_ALLOW	Emozioni
TARGET_BUTTON_EXCHANGE	Commercia
TARGET_BUTTON_EXCLUDE	Escludi
TARGET_BUTTON_EXIT_OBSERVER	Termina la modalità spettatore
TARGET_BUTTON_FIGHT	Duello
TARGET_BUTTON_FRIEND	Amico
TARGET_BUTTON_INVITE_GUILD	Invito Gilda.
TARGET_BUTTON_INVITE_PARTY	Invito Gruppo.
TARGET_BUTTON_LEAVE_PARTY	Lascia gruppo
TARGET_BUTTON_REQUEST_ENTER_PARTY	Entra nel gruppo
TARGET_BUTTON_VIEW_EQUIPMENT	Armatura
TARGET_BUTTON_WHISPER	Chat privata
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Grado 5
TARGET_LEVEL_KNIGHT	Grado 3
TARGET_LEVEL_PAWN	Grado 1
TARGET_LEVEL_S_KNIGHT	Grado 4
TARGET_LEVEL_S_PAWN	Grado 2
TASKBAR_ATTACK	Attacca
TASKBAR_AUTO	Attacca automaticamente
TASKBAR_CAMERA	Videocamera
TASKBAR_EXP	Esperienza
TASKBAR_HP	HP
TASKBAR_MOVE	Muovi
TASKBAR_SKILL	Abilità
TASKBAR_SP	MP
TASKBAR_ST	AP
THING_COUNT	Tutti
TOOLTIP_ANTI_CRITICAL_PCT	Resistenza contro il colpo critico +%d%% 	SA
TOOLTIP_ANTI_PENETRATE_PCT	Resistenza contro i colpi trafiggenti +%d%%	SA
TOOLTIP_ANTI_SELL	Non può essere venduto nel negozio.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Tasso di assorbimento: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Forte contro Animali +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Forte contro Ninja +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Forte contro Diavolo +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Forte contro Mezziuomini +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Forte contro Esoterici +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Forte contro mostri +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Forte contro Orchi +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Forte contro Shamane +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Forte contro Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Forte contro Zombie +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Forte contro Guerrieri +%d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Attacco sanguinante + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Resistenza contro l'attacco sanguinante + %d%%	SA
TOOLTIP_APPLY_BLOCK	Possibilità blocco attacco corporale %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Rigenerare in battaglia %d MP ogni 5 Sec.	SA
TOOLTIP_APPLY_CRITICAL_PCT	+ %d%% di possibilità nei colpi critici	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% di possibilità di mantenere MP nei colpi	SA
TOOLTIP_APPLY_DODGE	%d%% di possibilità di schivare frecce	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% di possibilità sul EXP Bonus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% di possibilità di lasciar cadere Yang	SA
TOOLTIP_APPLY_IMMUNE_FALL	Immune contro caduta	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Difesa contro rallentamento	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Difesa contro svenimento	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% di possibilità di far cadere il doppio degli oggetti	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% di possibilità di rigenerare HP	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% di possibilità di rigenerare MP	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% di possibilità prendere MP dell'avversario	SA
TOOLTIP_APPLY_MAX_HP_PCT	HP max. +%d%% 	SA
TOOLTIP_APPLY_MAX_SP_PCT	MP max. +%d%% 	SA
TOOLTIP_APPLY_NOAFFECT	Nessun effetto
TOOLTIP_APPLY_NO_DEATH_PENALTY	Facendo rinascere il personaggio sul luogo della sua morte non perderà punti esperienza.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% di possibilità su colpi che trafiggono	SA
TOOLTIP_APPLY_POISON_PCT	Possibilità di avvelenamento: %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Resistenza avvelenamento %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Pozione %d%% aumento dell'effetto	SA
TOOLTIP_APPLY_REFLECT_CURSE	Possibilità di riflettere maledizione: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	Possibilità di riflettere un attacco corporale: %d%%	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Possibilità di difesa dai ninja %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Difesa campana %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Difesa pugnale %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Difesa ventaglio %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Possibilità di difesa dagli shamani %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Possibilità di difesa dai sura %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Difesa spada %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Difesa spadone %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Possibilità di difesa dai guerrieri %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Resistenza vento %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Possibilità di imparare dai libri migliorata di fattore 2,5.	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Se l'apprendimento fallisce, hai a disposizione subito un altro tentativo.	SNA
TOOLTIP_APPLY_SLOW_PCT	Possibilità di rallentamento: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% di danni assorbiti da HP.	SA
TOOLTIP_APPLY_STEAL_SP	%d%% di danni assorbiti da MP.	SA
TOOLTIP_APPLY_STUN_PCT	Possibilità di svenimento: %d%%	SA
TOOLTIP_ARMOR	Armatura
TOOLTIP_ARROW	Freccia
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Valore d'attacco +%d	SA
TOOLTIP_ATT_SPEED	Velocità d'attacco +%d%%	SA
TOOLTIP_AUTO_POTION_HP	Elisir del Sole
TOOLTIP_AUTO_POTION_REST	Quantità rimasta: %.2f%%
TOOLTIP_AUTO_POTION_SP	Elisir della Luna
TOOLTIP_AUTO_POTION_USING	Attivo
TOOLTIP_BOW_DISTANCE	Raggio d'azione dell'arco +%dm	SA
TOOLTIP_BUYPRICE	Prezzo: %s
TOOLTIP_CAST_SPEED	Velocità della magia +%d%%	SA
TOOLTIP_CON	Vitalità  +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Bonus costume %d%% 	SA
TOOLTIP_DEF_GRADE	Difesa +%d	SA
TOOLTIP_DEX	Destrezza +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Terra	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Cielo	SNA
TOOLTIP_EAR	Orecchino
TOOLTIP_ENERGY	Energia %d	SA
TOOLTIP_ETC	Ecc.
TOOLTIP_FISHINGROD_EXP	Punti: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Livello: %d
TOOLTIP_FISHINGROD_UPGRADE1	Consegnare al pescatore
TOOLTIP_FISHINGROD_UPGRADE2	per ottenere una migliore
TOOLTIP_FISHINGROD_UPGRADE3	canna da pesca
TOOLTIP_FISH_LEN	Lunghezza: %.2fcm
TOOLTIP_HELMET	Elmo
TOOLTIP_HP_REGEN	Rigenerazione HP +%d%%	SA
TOOLTIP_INT	Intelligenza +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Valore d'attacco %d
TOOLTIP_ITEM_ATT_POWER	Valore d'attacco %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Valore d'attacco %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Valore d'attacco %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Velocità d'attacco %s
TOOLTIP_ITEM_DEF_GRADE	Difesa %d
TOOLTIP_ITEM_FAST	Veloce
TOOLTIP_ITEM_LIMIT_CON	Valore massimo vitalità: %d
TOOLTIP_ITEM_LIMIT_DEX	Valore massimo destrezza: %d
TOOLTIP_ITEM_LIMIT_INT	Valore massimo intelligenza: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Da liv: %d
TOOLTIP_ITEM_LIMIT_STR	Valore massimo forza: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Valore attacco magico %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Valore attacco magico %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Difesa magica %d
TOOLTIP_ITEM_NORMAL	Normale
TOOLTIP_ITEM_SLOW	Lento
TOOLTIP_ITEM_VERY_FAST	Molto veloce
TOOLTIP_ITEM_VERY_SLOW	Molto lento
TOOLTIP_ITEM_WEARABLE_JOB	[ Equipaggiabile ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Numero fortuna: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Attacco magico +%d%% 	SA
TOOLTIP_MAGIC_ATT_GRADE	Valore d'attacco magico +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Difesa magica +%d	SA
TOOLTIP_MALL_ATTBONUS	Valore d'attacco +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Valore d'attacco +12~15%	SNA
TOOLTIP_MALL_AUTOLOOT	Drop di Yang vengono raccolti automaticamete.	SNA
TOOLTIP_MALL_DEFBONUS	Difesa +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Difesa +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP-Bonus +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	50% in più EXP	SNA
TOOLTIP_MALL_FISH_MIND	La possibilità di catturare un pesce è aumentata.	SNA
TOOLTIP_MALL_GOLDBONUS	Possibilità di drop di Yang (%.1f)	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Doppia possibilità di drop di Yang	SNA
TOOLTIP_MALL_ITEMBONUS	Possibilità di drop di oggetti (%.1f)	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Possibilità sul razziare oggetti più %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Doppia possibilità di drop di oggetti	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Punti amore aumentano più veocemente.	SNA
TOOLTIP_MALL_SAFEBOX	Più spazio a disposizione nel magazzino.	SNA
TOOLTIP_MAX_HP	Max. HP +%d	SA
TOOLTIP_MAX_HP_PCT	Max. HP +%d%%	SA
TOOLTIP_MAX_SP	Max. MP +%d	SA
TOOLTIP_MAX_SP_PCT	Max. MP +%d%%	SA
TOOLTIP_MAX_STAMINA	Max. resistenza +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Attacco/magico Attacco/corpo a corpo +%d%% 	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS-ERRORE(%d, %d)
TOOLTIP_MOV_SPEED	Velocità movimento %d%%	SA
TOOLTIP_NECK	Collana
TOOLTIP_NEED_ALL_SP	MP necessari: Max.
TOOLTIP_NEED_GSP	Spirito del drago necessario: %d
TOOLTIP_NEED_HP	HP necessari: %d
TOOLTIP_NEED_HP_PER_SEC	HP / Sec.: %d
TOOLTIP_NEED_SKILL_POINT	Punti abilità necessari:
TOOLTIP_NEED_SP	MP necessari: %d
TOOLTIP_NEED_SP_PER_SEC	MP / Sec.:%d
TOOLTIP_NEXT_SKILL_LEVEL_1	Prossimo livello: %d (Max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Prossimo livello: %d (Max. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Danni medi %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Resistenza ai danni media %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Più di %d membri del gruppo
TOOLTIP_PARTY_INFO_GRADE_UP2	Grado d'attacco +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Grado di difesa +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Ripristinare una volta in 60 minuti gli HP/MP di tutti i membri del gruppo.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Ripristinare una volta in 30 minuti gli HP/MP di tutti i membri del gruppo.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Devi aspettare 3 minuti dopo la morte del membro del gruppo.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Puoi richiamare in ogni momento i membri del gruppo che sono sul server.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Grado d'attacco +(Numero dei membri/2) %d attaccanti possono essere scelti.
TOOLTIP_PARTY_INFO_SET_TANKER	Grado di difesa +(Numero dei membri del gruppo).  Può essere scelto lottatore corpo a corpo 1.
TOOLTIP_PARTY_SKILL_LEVEL	Livello attuale: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Attacco/Difesa migliorata]
TOOLTIP_PARTY_TITLE_HEAL	[Ripristina]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Per più di %d membri del gruppo c'è un Bonus EXP %d%%.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus-EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Richiama]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[scegli attaccante]
TOOLTIP_PARTY_TITLE_SET_TANKER	[annota lottatore corpo a corpo]
TOOLTIP_PICK_EXP	Punti: %d / %d
TOOLTIP_PICK_LEVEL	Livello: %d
TOOLTIP_PICK_UPGRADE1	Consegnalo al boscaiolo
TOOLTIP_PICK_UPGRADE2	per ottenere
TOOLTIP_PICK_UPGRADE3	un piccone migliore.
TOOLTIP_POTION_CURE	Annullare effetto negativo.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Velocità d'attacco: +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	HP +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	HP +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Velocità di movimento: +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	MP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	MP +%d
TOOLTIP_POTION_SEC	Sec.
TOOLTIP_POTION_TIME	Durata:
TOOLTIP_REQUIREMENT_21_LEVEL	Devi aver raggiunto livello 21
TOOLTIP_REQUIREMENT_41_LEVEL	Devi aver raggiunto livello 41
TOOLTIP_REQUIREMENT_LEVEL	Devi aver raggiunto livello %d
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Livello %d necessario
